Species,Scenario,TimePeriod,MeanDens,Area,Population.FMA,PercentChange,DifferenceWithRestoration,,,
BTNW,Al-Pac BAU,0,0.03885,6563755,255001.8818,NA,NA,,,
BTNW,Al-Pac BAU,10,0.050975,6563755,334587.4111,NA,NA,,,
BTNW,Al-Pac BAU,20,0.0551,6563755,361662.9005,NA,NA,,,
BTNW,Al-Pac BAU,30,0.06865,6563755,450601.7808,NA,NA,,,
BTNW,Al-Pac BAU,40,0.07715,6563755,506393.6983,NA,NA,,,
BTNW,Al-Pac BAU,50,0.085375,6563755,560380.5831,119.7554698,NA,,,
BTNW,Al-Pac BAU with seismic reclamation,0,0.03885,6563755,255001.8818,NA,NA,,,
BTNW,Al-Pac BAU with seismic reclamation,10,0.045475,6563755,298486.7586,NA,NA,,,
BTNW,Al-Pac BAU with seismic reclamation,20,0.05535,6563755,363303.8393,NA,NA,,,
BTNW,Al-Pac BAU with seismic reclamation,30,0.07045,6563755,462416.5398,NA,NA,,,
BTNW,Al-Pac BAU with seismic reclamation,40,0.0807,6563755,529695.0285,NA,NA,,,
BTNW,Al-Pac BAU with seismic reclamation,50,0.08785,6563755,576625.8768,126.1261261,16245.29362,,,
BTNW,Increased Fire,0,0.03885,6563755,255001.8818,NA,NA,,,
BTNW,Increased Fire,10,0.04335,6563755,284538.7793,NA,NA,,,
BTNW,Increased Fire,20,0.0497,6563755,326218.6235,NA,NA,,,
BTNW,Increased Fire,30,0.060175,6563755,394973.9571,NA,NA,,,
BTNW,Increased Fire,40,0.0675,6563755,443053.4625,NA,NA,,,
BTNW,Increased Fire,50,0.07205,6563755,472918.5478,85.45688546,NA,,,
BTNW,No Energy,0,0.03885,6563755,255001.8818,NA,NA,,,
BTNW,No Energy,10,0.04765,6563755,312762.9258,NA,NA,,,
BTNW,No Energy,20,0.0599,6563755,393168.9245,NA,NA,,,
BTNW,No Energy,30,0.077575,6563755,509183.2941,NA,NA,,,
BTNW,No Energy,40,0.0883,6563755,579579.5665,NA,NA,,,
BTNW,No Energy,50,0.098475,6563755,646365.7736,153.4749035,NA,,,
BTNW,No Fire,0,0.03785,6563755,248438.1268,NA,NA,,,
BTNW,No Fire,10,0.047975,6563755,314896.1461,NA,NA,,,
BTNW,No Fire,20,0.0604,6563755,396450.802,NA,NA,,,
BTNW,No Fire,30,0.078775,6563755,517059.8001,NA,NA,,,
BTNW,No Fire,40,0.0905,6563755,594019.8275,NA,NA,,,
BTNW,No Fire,50,0.100725,6563755,661134.2224,166.1162483,NA,,,
PAWA,Al-Pac BAU,0,0.153675,6563755,1008685.05,NA,NA,,,
PAWA,Al-Pac BAU,10,0.149875,6563755,983742.7806,NA,NA,,,
PAWA,Al-Pac BAU,20,0.140325,6563755,921058.9204,NA,NA,,,
PAWA,Al-Pac BAU,30,0.1336,6563755,876917.668,NA,NA,,,
PAWA,Al-Pac BAU,40,0.127425,6563755,836386.4809,NA,NA,,,
PAWA,Al-Pac BAU,50,0.1238,6563755,812592.869,-19.44037742,NA,,,
PAWA,Al-Pac BAU with seismic reclamation,0,0.153675,6563755,1008685.05,NA,NA,,,
PAWA,Al-Pac BAU with seismic reclamation,10,0.148825,6563755,976850.8379,NA,NA,,,
PAWA,Al-Pac BAU with seismic reclamation,20,0.141425,6563755,928279.0509,NA,NA,,,
PAWA,Al-Pac BAU with seismic reclamation,30,0.13705,6563755,899562.6228,NA,NA,,,
PAWA,Al-Pac BAU with seismic reclamation,40,0.1307,6563755,857882.7785,NA,NA,,,
PAWA,Al-Pac BAU with seismic reclamation,50,0.124825,6563755,819320.7179,-18.77338539,6727.848875,,,
PAWA,Increased Fire,0,0.160425,6563755,1052990.396,NA,NA,,,
PAWA,Increased Fire,10,0.155075,6563755,1017874.307,NA,NA,,,
PAWA,Increased Fire,20,0.151925,6563755,997198.4784,NA,NA,,,
PAWA,Increased Fire,30,0.15195,6563755,997362.5723,NA,NA,,,
PAWA,Increased Fire,40,0.15245,6563755,1000644.45,NA,NA,,,
PAWA,Increased Fire,50,0.151775,6563755,996213.9151,-5.391927692,NA,,,
PAWA,No Energy,0,0.160425,6563755,1052990.396,NA,NA,,,
PAWA,No Energy,10,0.150875,6563755,990306.5356,NA,NA,,,
PAWA,No Energy,20,0.1436,6563755,942555.218,NA,NA,,,
PAWA,No Energy,30,0.1381,6563755,906454.5655,NA,NA,,,
PAWA,No Energy,40,0.133575,6563755,876753.5741,NA,NA,,,
PAWA,No Energy,50,0.12965,6563755,850990.8358,-19.18341904,NA,,,
PAWA,No Fire,0,0.153675,6563755,1008685.05,NA,NA,,,
PAWA,No Fire,10,0.1444,6563755,947806.222,NA,NA,,,
PAWA,No Fire,20,0.129325,6563755,848857.6154,NA,NA,,,
PAWA,No Fire,30,0.116275,6563755,763200.6126,NA,NA,,,
PAWA,No Fire,40,0.1041,6563755,683286.8955,NA,NA,,,
PAWA,No Fire,50,0.095125,6563755,624377.1944,-38.09988612,NA,,,
OSFL,Al-Pac BAU,0,0.0081,6563755,53166.4155,NA,NA,,,
OSFL,Al-Pac BAU,10,0.008175,6563755,53658.69713,NA,NA,,,
OSFL,Al-Pac BAU,20,0.00825,6563755,54150.97875,NA,NA,,,
OSFL,Al-Pac BAU,30,0.00835,6563755,54807.35425,NA,NA,,,
OSFL,Al-Pac BAU,40,0.008425,6563755,55299.63588,NA,NA,,,
OSFL,Al-Pac BAU,50,0.008625,6563755,56612.38688,6.481481481,NA,,,
OSFL,Al-Pac BAU with seismic reclamation,0,0.0081,6563755,53166.4155,NA,NA,,,
