"","(Intercept)","vegcBSpr","vegcCrop","vegcGraminoidFen","vegcGrassHerb","vegcIndustrial","vegcLarch","vegcMarsh","vegcMine","vegcMixedwood","vegcPine","vegcRoughP","vegcRural","vegcShrub","vegcSpruce","vegcSwamp","vegcTameP","vegcUrban","wtAge","wtAge2","wtAge05","fCC2","ROAD","mWell","mSoft","mEnSft","mTrSft","mSeism","CMETHODSM","CMETHODRF","pWater_KM","pWater2_KM","xPET","xMAT","xAHM","xFFP","xMAP","xMWMT","xMCMT","xY","xX","xY2","xX2","SSH_KM","SSH05_KM","THF_KM","Lin_KM","Nonlin_KM","Succ_KM","Alien_KM","Noncult_KM","Cult_KM","THF2_KM","Nonlin2_KM","Succ2_KM","Alien2_KM","Noncult2_KM","YR","isCon:wtAge","isCon:wtAge2","isUpCon:wtAge","isBSLarch:wtAge","isUpCon:wtAge2","isBSLarch:wtAge2","isMix:wtAge","isPine:wtAge","isWSpruce:wtAge","isMix:wtAge2","isPine:wtAge2","isWSpruce:wtAge2","isCon:wtAge05","isUpCon:wtAge05","isBSLarch:wtAge05","isMix:wtAge05","isPine:wtAge05","isWSpruce:wtAge05","xFFP:xMAP","xMAP:xPET","xAHM:xMAT","xX:xY"
"1",-47.2771555640089,18.7337943786051,14.0115979368808,-0.686586074181839,20.0744804671158,13.8726113654713,-1.29885376940549,0.0638976565188669,13.3997984499353,0.455276640801184,-7.00225329042364,13.689756128408,13.2044832328216,15.0268509313419,-7.2676834894425,-7.08404572765654,34.071456091596,13.0629769958374,0,0,0,0,0,0,0,0,0,0,0,0,-80.3179503877809,0,184.000566456759,6.2100023635736,-75.8676400015397,0,205.477198081491,0,0,-2.30748741142675,-2.170935940117,-4.23333222704193,-1.13990141234871,0,0,-47.5245112704896,0,0,0,0,0,0,33.05731561019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-763.20399745593,-13.1314094705559,1.84565753956906
"3",-5.88017765229175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.56324963532104,0,0,0,-12.0465366548474,0,0,0,0,0,0,0,0,0,10.5534042576943,0,-19.577568979562,0,0,0,0,0,0,0,0,0,0,0,0,0,-67.2684652500463,0.415365065718287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",-46.4758694970981,14.0411157961508,15.3870966841371,13.2702061008429,29.8291689673135,14.3371844930297,-1.88540458862922,12.7576927466287,15.3351204187614,-0.89379795903923,-1.51716918564345,12.9239676951207,15.5585296321893,29.3590240684415,0.0274391245022781,13.9897751537704,29.253450596377,17.7236862095589,-94.6429594685253,0,80.3084842267794,0,0,0,0,0,0,0,0,0,-36.9821407131829,0,0,-0.679320110301817,0,0,0,0,0,1.42815376537681,-0.857040088027474,-5.52326133285864,-0.225807795625151,0,14.0553175839888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35938938206287
"8",-42.2039883031777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.5212692870959,-158.587600056822,0,0,0,0,0,0,0,0,0.994114819744717,18.8526047905843,567.931081030235,-44986.6527209035,0,0,15.1027259403645,0,0,0,0,0,0,0,0,0,7.1185364287068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",-8.54903528464744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0124030321123,0,-11.2475725953139,0,-13.3281261202498,0,0,0,0,0,0,0,-162.816102581245,0,0,0.088319515493764,0,0,6.61606687170006,0,0,0,0,0,0,0,0,0,0,0,-45.6293213687447,-0.191649220244069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",-9.2829047398415,2.01244692985633,-0.923372979301676,-4.18517997458728,21.4444142339574,-2.46999267276629,2.63328141405137,24.5212976120641,-2.6735108798339,-0.522237910907017,18.7952440307856,-2.03380886865505,-7.08574335529871,21.1718282670192,-1.07668786779892,-1.6662890475319,18.7291099283148,1.3684817452932,0,0,0,0,-22.2648882839558,0,0,0,0,0,-19.8058482984512,-22.6974160658773,-12.563647951668,0,0,0,0,0,0,-4.26523506635632,-0.807603923822856,0,0,0,0,0,0,22.0231724335331,0,0,0,0,0,0,-13.7866961867815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",-27.9798161078685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.8692203806534,-80.8232797881193,0,0,-4.41831407363993,0,0,0,0,0,0,0,-316.134746905889,0,251.375733273902,-12.1183872180222,-133.653280986594,0,38.534473169491,0,0,8.59927311901304,-11.7810711491175,-14.1808949401099,-2.52509340115898,0,5.77840509628353,0,-87.077838895029,0.455529608465818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-731.754066172978,23.5678869324514,9.83052219968116
"15",-91.5725299804692,24.4654437699435,-1.1033544888662,10.2610427951766,29.963065977766,4.31224662486972,2.82632835635653,12.4477710541038,2.70164141566484,-0.0910527901256255,22.2433849115133,8.46307399005959,16.0840246340538,22.5374129298938,0.299681053517943,8.21717647156786,2.7627267277651,10.0687741474173,-51.2689790114099,0,36.9899307451165,0,-16.5387904421283,0,0,0,0,0,0,0,-926.196811332904,0,372.127404930696,4.76411275399177,-143.117677834371,0,334.114114586362,0,0,8.05730959036321,-10.4772161156416,-14.7920250958304,-2.41940920573007,0,0,-6.52856955136161,0,0,0,0,0,0,14.35524486384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1412.26287363362,-16.0646804233019,8.13205645089997
"16",34.9222405778471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.65331335246306,0,0,0,-18.5609053449677,0,0,0,0,0,-55.0181545206271,-36.4137511107914,488.987857984283,-22943.7724372079,0,0,0,0,0,-4.68378846694875,1.4184427095287,3.86405822699642,0.927462976840981,-4.02547819594653,-0.470726550429493,0,-3.13575457403878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.228080840493719
"21",-24.3552925193474,15.3189290501073,2.69909567416499,-1.05616521315978,17.4897753317205,0.483635811430763,-1.18110819098169,-0.646157983908516,-0.76293909423294,-0.687394838407679,-3.2413241618754,0.722321317298825,2.4454425427829,15.5784827928269,-1.18077400726044,-0.743445266865949,18.7086013181206,3.65539768588011,0,0,0,0,-16.1562949151661,0,0,0,0,0,0,0,-33.0825372864038,0,0,0,-11.3139778409947,0,0,0,0,0,0,0,0,0,6.55527398058701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
