"","(Intercept)","vegcBSpr","vegcCrop","vegcGraminoidFen","vegcGrassHerb","vegcIndustrial","vegcLarch","vegcMarsh","vegcMine","vegcMixedwood","vegcPine","vegcRoughP","vegcRural","vegcShrub","vegcSpruce","vegcSwamp","vegcTameP","vegcUrban","wtAge","wtAge2","wtAge05","fCC2","ROAD","mWell","mSoft","mEnSft","mTrSft","mSeism","CMETHODSM","CMETHODRF","pWater_KM","pWater2_KM","xPET","xMAT","xAHM","xFFP","xMAP","xMWMT","xMCMT","xY","xX","xY2","xX2","SSH_KM","SSH05_KM","THF_KM","Lin_KM","Nonlin_KM","Succ_KM","Alien_KM","Noncult_KM","Cult_KM","THF2_KM","Nonlin2_KM","Succ2_KM","Alien2_KM","Noncult2_KM","YR","isCon:wtAge","isCon:wtAge2","isUpCon:wtAge","isBSLarch:wtAge","isUpCon:wtAge2","isBSLarch:wtAge2","isMix:wtAge","isPine:wtAge","isWSpruce:wtAge","isMix:wtAge2","isPine:wtAge2","isWSpruce:wtAge2","isCon:wtAge05","isUpCon:wtAge05","isBSLarch:wtAge05","isMix:wtAge05","isPine:wtAge05","isWSpruce:wtAge05","xFFP:xMAP","xMAP:xPET","xAHM:xMAT","xX:xY"
"1",0.232004518516717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.72992009488013,0,0.215274455477616,6.166616140211,-16.4141292207781,0,0,0,7.78252651296364,6.49600479626171,0,0,-31.3470278374508,0,13.264171517728,0,0,0,0,-0.66903160186666,0.683142935202737,0,0,0,0,1.28962337345705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37131410436225,0,0,0,0,0,0,0,0,-0.271486834917162
"2",-249.692006932884,17.5228805725371,15.172509703445,18.6982707552698,0.64108999752797,-6.14401954978378,18.1869432290468,-1.3867643794359,-7.01794790103413,0.361778780033408,18.8661185733134,-3.05193501902009,-2.32792494703806,-1.05902590336479,17.9807511786321,18.4053790149107,-5.45899112978867,-2.3547921574018,0.602343387590657,0,0,0,-16.8031508856353,0,0,0,0,0,204.368455257955,203.421469740781,0,0,0,0,0,0,0,14.7472190995582,-9.17076186421074,0,0,0,0,1.81525887844895,0,0,0,0,0.867570750360593,6.12177562502906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",-28.2880411868441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4721203424713,0,0,0,-15.1263341203135,0,0,0,0,0,20.877273257279,21.4222670181841,0,0,-33.2555493514888,0,37.8321222423993,0,0,0,0,6.33213010993787,3.98294012548936,-1.82908340677322,-0.675307221833434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.4038365381792
"4",-19.5597025873488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.031437665972,0,0,0,0,0,21.9129354784751,20.5903515990877,0,0,-28.3464283789983,0,20.0971832729956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",-33.8954741637728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.1506348783043,-256.505284918684,0,0,-28.1432384806318,15.9303287259831,-80.6171764081231,0,0,0,39.4083102309286,38.7075706914823,0,0,-32.7515124063887,0,23.3208166159618,0,0,0,0,0,0,0,0,0,-2.380457249855,0,64.2939020240295,-18.9743282491393,0,0,0,0,0,18.4903565677376,0,0,0,0,-41.1127249327511,238.14847974436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",-48.0147011834865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.79616948928165,0,-17.6103231674988,8.18262175080713,0,0,0,0,41.1012371976477,39.9868595255871,0,0,0,-5.5960073395464,0,0,0,0,0,0,0,0,0,0,-1.72260334302421,0,0,0,-1.77935492418926,3.39427576276407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0331137106809,0,0,0,0,0,0,0,0,0
"8",-65.8201418973531,16.4855961423131,23.4730540111188,-0.068683186921569,9.6544157757316,26.1836573866637,17.1894819831295,1.99936998553372,24.7384628361945,1.82864688539442,18.3695724856437,22.3063218661247,25.9959485875473,3.65774505361616,18.1664304738768,16.5610499414596,26.4713244163581,54.8596425948935,35.573144009451,-86.6974796411615,0,0,0,0,0,0,0,0,21.8485317014789,22.3555549445155,0,0,-40.6027163695289,0,59.8036253127127,0,0,0,0,15.6419181465878,-0.838161560916968,-5.59541994993496,-0.252912402109606,0,9.60355984123534,-37.5167221692064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166216400989673
"9",634.393539734495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.30671621465958,0,0,0,1.35865942258368,43.8251704794028,8.18398490868169,0,0,0,18.2446921490683,26.533449989101,-28.5509696365521,0,-718.633700350716,68.6916411374443,-197.726804488583,0,-3247.50847544227,0,0,72.5901515222899,14.8351209089502,-29.6146534102066,-1.90607848044051,0,0,-34.4479064312956,0,0,0,0,0,0,34.9637201206341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3721.11717401566,-78.0236965051373,-9.72941538737808
"11",-10.4904833420227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13332021500584,0,-5.87278778338037,0,-18.5748648253825,1.41483698546281,0,0,0,0,17.985039578974,17.3561623996564,0,0,0,0,0,-0.169534706295747,-84.2051010933743,0,0,0,0,0,0,0,0,0,0,0,21.9988994626192,8.08599692360575,0,0,0,0,-44.471233006141,-7.13323186080044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",117.792355844631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.5519124853433,0,10.2348854421754,0,0,0,0,0,0,0,9.94493552989977,9.67932470401966,0,0,-46.8670222235336,2.05556909131361,-34.8013876520237,0,-472.568604219292,0,0,8.38359039802603,3.30113623349388,-7.46580874746227,-0.576794329773705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.61398202020403
