,(Intercept),vegcBSpr,vegcCrop,vegcGraminoidFen,vegcGrassHerb,vegcIndustrial,vegcLarch,vegcMarsh,vegcMine,vegcMixedwood,vegcPine,vegcRoughP,vegcRural,vegcShrub,vegcSpruce,vegcSwamp,vegcTameP,vegcUrban,wtAge,wtAge2,wtAge05,fCC2,ROAD,mWell,mSoft,mEnSft,mTrSft,mSeism,CMETHODSM,CMETHODRF,pWater_KM,pWater2_KM,xPET,xMAT,xAHM,xFFP,xMAP,xMWMT,xMCMT,xY,xX,xY2,xX2,SSH_KM,SSH05_KM,THF_KM,Lin_KM,Nonlin_KM,Succ_KM,Alien_KM,Noncult_KM,Cult_KM,THF2_KM,Nonlin2_KM,Succ2_KM,Alien2_KM,Noncult2_KM,YR,isCon:wtAge,isCon:wtAge2,isUpCon:wtAge,isBSLarch:wtAge,isUpCon:wtAge2,isBSLarch:wtAge2,isMix:wtAge,isPine:wtAge,isWSpruce:wtAge,isMix:wtAge2,isPine:wtAge2,isWSpruce:wtAge2,isCon:wtAge05,isUpCon:wtAge05,isBSLarch:wtAge05,isMix:wtAge05,isPine:wtAge05,isWSpruce:wtAge05,xFFP:xMAP,xMAP:xPET,xAHM:xMAT,xX:xY
1,-0.027346219,-0.785805107,-0.09608641,-1.20255575,-0.185743364,-10.56519088,-1.035648949,-0.267199502,-9.978038036,-3.04799351,-1.614513524,-14.71972315,-13.25876559,0.233244918,-2.312276759,0.208829142,-12.81403198,-10.39617433,0,0,0.203231972,0.241897603,-0.247288431,7.676494188,0,0,0,0,-0.219287362,0.265895546,-3.338406894,0,-22.92262719,0.588944983,10.77654063,0,-32.27827616,0,0,-0.209978706,-0.123373581,0,0,3.250387941,0,0,0,0,19.93065652,0,-17.39290373,-1.479475776,0,0,-10.81121358,0,8.504719299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.081179633,4.034346368,2.127728997,3.73451718,0,68.34876321,-1.621791363,0.150983294
2,2.073359227,14.92867354,14.12353231,15.59020898,-0.515519529,-1.864615315,14.43550541,14.66955992,-1.225478935,10.7248473,13.72898597,-0.551913422,-0.935831326,-0.760284705,14.18774664,14.64102299,-0.391137921,-0.325481036,84.3198293,-115.5757412,0,0.83727587,0.510222497,0,0,0,0,0,-1.80854101,-0.041850242,-5.668800522,0,-37.29698056,2.150867222,-1.836819574,0,-98.9469923,0,0,0.118770601,0.628336685,-0.919671432,0.255320716,2.777018405,0,0,-1.95563614,5.70169635,0,0,0,0,0,-6.252830528,0,0,0,0,0,0,0,-85.31812335,0,120.4558758,-64.49248822,-79.05897408,-83.75472217,95.65642959,109.6468349,117.1907987,0,0,0,0,0,0,0,161.2676769,-5.98503875,-0.477656757
3,1.026781315,-3.059837182,-12.66542867,-17.52064316,-1.699481013,-14.05891416,-3.710868483,-0.643838933,-13.23623574,-49.07108645,-2.075080648,-16.77456381,-15.38764448,-17.21503246,-7.065962839,-0.623491001,-12.40186656,-12.48337951,7.603612551,0,-7.485933575,0,0.365063663,-2.602311653,0,0,0,0,-2.447759037,0.416457456,-6.485606199,16.10778706,-24.00764235,-0.533522017,9.249754612,0,-29.87467649,0,0,0.208966106,0.401865096,-0.266645502,0.036166419,2.463916682,0,0,0,0,-0.225847612,-6.405612518,0,0,0,0,0,0,0,0,0,0,0,-9.77485387,0,0,-92.17781752,-10.80647315,-21.21048461,0,0,0,0,0,12.93277019,135.9629526,11.16671078,27.05454076,0,82.52047737,0.914563735,-0.290993975
4,-4.320203467,0.823124635,-1.411466267,-14.69010337,2.4115161,-4.35142269,0.330236125,1.681856177,-2.684824294,-0.703963219,0.09013189,-12.16463253,-11.82151101,-14.467763,0.666631391,2.397777842,-0.683224358,-2.500098501,-5.168389927,0,7.682808043,3.000321889,1.209607464,17.95923316,0,-5.724842338,4.820141963,0,-0.447975791,0.482212455,-4.431463284,0,-22.35837263,0.227874785,11.01024762,0,-19.87896683,0,0,0.501560215,-0.006133179,-0.449532174,-0.037969757,2.462028725,0,0,0,0,1.140520561,-23.41247798,0,0,0,0,-3.429611251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.14494818,-0.907398691,0.249962435
5,-0.799189573,-1.073553609,-8.788384086,0.103671207,-15.58651128,-11.42464986,-1.383929487,-1.16393574,-11.39328089,-2.819802871,-1.850813454,-15.69214615,-15.41767587,0.298938084,-2.731842675,-0.703826625,-9.775170223,-11.17451286,0,0,-0.798729659,-0.132285166,-0.25460681,4.730242031,0,-11.21019618,4.88972022,0,-0.729884857,0.336222088,-4.459748009,0,-25.09233978,1.466222081,14.34002625,0,-36.46175447,0,0,0.189386327,-0.222360619,-0.585878425,-0.054998915,0,3.769644487,0,0,0,4.605914961,-9.225329019,0,0,0,0,-3.969554498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.484308807,4.572280102,3.407160107,4.89573649,0,75.23973679,-3.891977726,0.229152856
6,-1.838794872,-0.269661601,-0.010381006,-0.167315529,-13.70282549,-10.56696738,-0.419829835,-14.98804439,-8.951106849,-9.567445342,-1.641477322,-14.36296068,-13.05103373,0.446140376,-1.218894485,-0.021187275,-13.0486246,-10.13850423,6.488617648,0,-4.088292335,1.131133563,-0.397147846,7.596909607,0,-7.273321748,2.696950018,0,-1.567752599,-0.45049368,-4.631966342,13.63286476,-16.57903584,0.528882695,3.730426297,0,-37.07648392,0,0,0.46439029,0.203423198,-0.252353417,0.13104203,0,3.044317007,0,0,0,17.98010605,0,-15.180398,-0.494069867,0,0,-9.804892122,0,7.368138845,0,0,0,0,-6.472635952,0,0,-31.08482601,-8.364519946,-0.206516254,0,0,0,0,0,6.864674955,36.71378704,9.113169811,2.774258506,0,78.91331923,-1.492661353,-0.040871689
7,10.48138226,-1.234676512,-0.612498886,-1.296619446,-1.556100238,-15.77530845,-1.765257938,-1.374894563,-15.91546016,-4.099525367,-0.909731027,-0.752203207,-14.88106755,-16.43458418,-1.783289889,-1.582866155,-15.4944766,-14.4637426,0,0,-2.513907161,-1.041132716,-0.827625609,0,0,0,0,0,-0.202105719,0.738131893,-13.39341854,28.96654388,-18.46792154,2.97177732,1.994826801,0,-48.33219268,0,0,-0.657922817,-0.454227888,-0.511774174,-0.049789238,1.735784043,0,0,-3.490494651,2.31740557,0,0,0,0,0,-3.528842946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.472884213,7.099297392,2.521423945,4.396149634,0,42.65686408,-7.547799879,0.225614742
8,18.01509613,-1.857820435,-2.006933612,-1.327105751,-1.110614447,-16.89311401,-2.332195999,-1.434892071,-16.66373434,-36.80310123,-3.434404382,-16.45425265,-16.41885952,-0.929788976,-16.53732503,-1.37253542,-16.06213699,-16.11469548,7.245035389,0,-7.414171078,0,0,0,0,0,0,0,0.687828757,1.724825422,-5.542211884,11.40639817,-54.45763559,2.232147638,16.55914559,0,-91.95845953,0,0,-0.206064107,-0.038071211,-0.459029681,0.035894563,2.384549556,0,0,-0.845886509,3.705841856,0,0,0,0,0,-4.138913573,0,0,0,0,0,0,0,-4.177618197,0,0,-72.91555624,-15.32276895,-29.13536506,0,0,0,0,0,7.456815666,105.1624555,15.86891198,45.3766037,0,166.4220699,-5.738028218,0.075644739
9,8.744062257,3.363171819,3.455048441,4.377602568,3.237091941,-10.27683918,3.175636363,4.042072396,-10.96783596,0.876266981,3.645757282,-10.05661802,-9.53048555,-10.90228028,3.95448879,4.394191282,-10.12935897,-9.530063099,0,0,4.860013191,0,-0.304668037,-18.86126357,0,2.339942785,-8.829374893,0,0.755568791,0.662540812,-6.841402505,17.67986805,-46.72265395,0.987978694,12.22611546,0,-78.71995241,0,0,0.156547052,-0.1487635,-0.559590778,-0.089767205,2.092246153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.166957322,-2.077112997,0,0,0,0,156.7214959,-2.676147023,0.241412661
10,5.731272682,-2.710488741,-2.681601445,-17.1057131,-16.80372353,-15.92503477,-3.197782469,-17.14856871,-15.08696659,-13.89197898,-3.136836158,-16.85437813,-15.70165029,-1.706876526,-2.784276708,-3.045426694,-15.93828581,-15.6692932,6.60340914,0,-7.489481273,0,-0.482595025,0,0,0,0,0,0.911302827,1.490919422,-4.923383302,0,-38.6430281,0.632877779,18.60907634,0,-48.71509341,0,0,0,0,0,0,2.607513281,0,0,0,0,13.75013945,0,-11.59780497,-0.809764779,0,0,-11.70165327,0,8.738021784,0,0,0,0,-11.37571452,0,0,-37.76120526,-7.679856745,-4.460262479,0,0,0,0,0,13.20753756,46.44214253,10.2167658,8.319663674,0,110.3773171,-1.333119298,0
