,(Intercept),vegcBSpr,vegcCrop,vegcGraminoidFen,vegcGrassHerb,vegcIndustrial,vegcLarch,vegcMarsh,vegcMine,vegcMixedwood,vegcPine,vegcRoughP,vegcRural,vegcShrub,vegcSpruce,vegcSwamp,vegcTameP,vegcUrban,wtAge,wtAge2,wtAge05,fCC2,ROAD,mWell,mSoft,mEnSft,mTrSft,mSeism,CMETHODSM,CMETHODRF,pWater_KM,pWater2_KM,xPET,xMAT,xAHM,xFFP,xMAP,xMWMT,xMCMT,xY,xX,xY2,xX2,SSH_KM,SSH05_KM,THF_KM,Lin_KM,Nonlin_KM,Succ_KM,Alien_KM,Noncult_KM,Cult_KM,THF2_KM,Nonlin2_KM,Succ2_KM,Alien2_KM,Noncult2_KM,YR,isCon:wtAge,isCon:wtAge2,isUpCon:wtAge,isBSLarch:wtAge,isUpCon:wtAge2,isBSLarch:wtAge2,isMix:wtAge,isPine:wtAge,isWSpruce:wtAge,isMix:wtAge2,isPine:wtAge2,isWSpruce:wtAge2,isCon:wtAge05,isUpCon:wtAge05,isBSLarch:wtAge05,isMix:wtAge05,isPine:wtAge05,isWSpruce:wtAge05,xFFP:xMAP,xMAP:xPET,xAHM:xMAT,xX:xY
1,1.804563038,-1.590091719,-0.565527163,0.954534722,0.660946297,-13.20072851,-1.457223823,-0.626445985,-14.11187222,3.090270689,0.643943251,-12.2750643,-12.1940826,-0.012159296,-2.060367934,0.3603752,2.106944041,-12.13676671,-8.449438132,0,6.102192528,-3.63179745,-1.441580819,-5.647313711,0,0,0,0,-0.719429524,0.535596163,0,0,0,0,0,-12.5027594,-9.098254597,0,0,0.870111554,-0.71429358,-0.056707004,-0.148762917,1.202126945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.867533599,0,0,10.61906748,-8.196312553,-2.132741559,0,0,0,0,0,6.13406911,-11.2847672,4.926800779,4.931483925,18.66234666,0,0,0.243702696
2,2.268288006,-0.945692183,-10.00607393,1.430622057,2.151779389,-13.19176633,-0.887037965,0.460682063,-12.81808526,3.697114681,1.178960918,-14.3721922,-13.42645352,0.944999252,-1.828063182,1.468879511,5.305246476,-12.31149183,-8.000426449,0,7.557961542,-6.462744725,0.07543173,4.809011764,0.40958376,0,0,0,-1.043514844,0.918314976,0,0,8.215516033,0.953236154,-11.6445898,0,7.498371306,0,0,-0.021942793,-1.164724816,-0.555950224,-0.184540555,1.282399439,0,0,0,0,3.889628343,0,-5.52830594,-3.723110299,0,0,0,0,3.575491093,0,0,0,0,-7.804048783,0,0,12.53596448,-12.68945114,-7.139208236,0,0,0,0,0,6.680277502,-14.14736041,6.233246251,8.102756126,0,-83.44333857,-2.874668215,0.389872371
3,1.488753947,-2.655341909,0.05064208,0.543607848,0.221842653,-13.24139148,-2.49067767,0.326697328,-14.36798199,1.43559642,-0.269491012,-12.28007986,-12.21265861,0.05078905,-8.373909447,0.127569058,1.918486178,-11.97488133,-7.732243708,0,5.257002294,-2.731266149,-2.076732498,-13.18117224,0,0,0,0,-1.140907269,0.398028901,0,0,0,0,0,-11.10873355,-7.834984615,0,0,0.848257921,-0.733409525,-0.012545458,-0.156776211,1.032105332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.204778315,0,0,5.55310317,-9.413213459,-19.39395691,0,0,0,0,0,9.602993895,-5.725300288,7.067030965,26.25893471,14.95895329,0,0,0.267305215
4,2.243733943,-2.257616702,-0.69371553,0.722741965,0.703026552,-13.96600085,-2.145118256,-14.77375376,-14.1533515,2.990874156,0.730886556,-12.19824989,-11.4283268,0.054593299,-1.397119333,0.392514772,2.43657531,-11.54477769,-8.040052788,0,5.333131404,-2.639263065,-0.976663545,8.646219726,0,0.655418832,-2.961269511,-7.845761176,0.575585051,0.338241585,0,0,0,0,0,-13.18975685,-8.859847837,0,0,1.294255435,-0.786269887,-0.160409102,-0.180055997,0.645912591,0,0,0.788123557,-5.890120892,0,0,0,0,0,6.125763778,0,0,0,0,0,0,0,-10.54000082,0,0,7.475096136,-3.33359068,-1.596572773,0,0,0,0,0,10.6640428,-10.6403884,2.480029588,3.373272866,21.32873109,0,0,0.273287039
5,1.402959433,-1.860700866,0.501203136,-0.059385094,1.119309927,-12.7344492,-1.69465573,-14.85438423,-13.15694488,0.628846324,-0.635133932,-11.39827486,-11.38208061,-0.463181774,-2.38290914,0.071949862,2.621079611,-10.98252451,-8.489856266,0,4.822792885,-1.657875256,-2.084496439,-3.021030164,0,0,0,0,-0.541038864,0.648403885,16.13555204,-62.77407106,0,0,0,-12.81281372,-8.267420311,0,0,0.943426835,-0.492251959,-0.09126363,-0.068171072,1.252448259,0,0,0.505112439,-1.887635928,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.682564912,0,0,0.259501204,-21.69620078,-7.660069018,0,0,0,0,0,6.062327418,-0.781822022,13.99057124,9.806731684,23.59937471,0,0,0.107306068
6,7.723795557,-0.959097291,1.836720784,1.024214911,-14.63027555,-15.66780524,-1.072994867,-0.732212195,-16.07903017,1.572204515,1.165869255,-12.48132957,-14.18873405,0.45378748,-0.587395324,0.704618029,2.976121799,-15.64594451,-10.92883389,0,7.05509023,-0.90104351,-1.203461389,-19.86203473,0,6.777766083,-4.350082394,0,0.591804234,0.763609538,6.644032717,-18.14351682,11.83093506,-0.516532602,-13.37672637,0,-9.499573962,0,0,-1.536705388,-1.339109509,-0.359323122,-0.146470203,1.401288539,0,0,0,0,-5.527631534,0,2.376003814,-3.377427822,0,0,0,0,0,0,0,0,0,-0.877572474,0,0,10.11007893,-8.62182528,4.808566463,0,0,0,0,0,3.592896577,-7.642043056,4.469297188,-1.130826377,0,-93.4201807,0.753009563,0.313452213
7,7.76703825,-2.334258061,-0.504474867,0.178606487,-14.11042849,-14.57584296,-2.155892482,-0.920971613,-14.56384854,2.75890941,0.375052375,-13.94014316,-12.87105993,-0.218509936,-21.14333779,0.535558579,1.731777024,-12.1954826,-11.66333404,0,7.18079567,-2.595013545,-3.593921285,-4.355693231,3.610437248,0,0,0,-0.025738813,1.144020861,10.88184697,-38.73753078,8.357904587,-0.098124551,-12.82451001,0,-1.805203184,0,0,-0.677932892,-1.394893733,-0.550503174,-0.240613198,1.001816698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.737861827,0,0,16.95584625,-8.696744903,-35.71448539,0,0,0,0,0,6.656964268,-14.56802669,6.038136665,57.11137445,0,-96.6674228,-0.001193912,0.38083612
8,7.900439279,-2.048415179,0.662335811,0.73850065,-0.268744191,-12.1013326,-2.251479693,-0.164007431,-11.73345156,2.517928828,0.386351332,-11.05274154,-11.23745954,-0.750035684,-2.396345364,0.593084322,3.548829467,-11.38572724,-9.583293716,0,6.714132574,-0.254150363,-1.608370071,-0.269247993,0,0,0,0,-0.307715593,1.111123204,6.92259445,-20.59397497,0.226258746,-0.576595915,-12.17390958,0,-10.64531109,0,0,-0.317071139,-1.10583663,-0.534092722,-0.16497734,1.107563131,0,0,2.703428111,-2.596169218,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.17855524,0,0,8.501421158,-3.07558794,-7.044510698,0,0,0,0,0,8.840374943,-9.209978306,2.306391087,9.346694066,0,-48.06311708,1.228859289,0.363987017
9,3.751849533,0.044854001,2.116397337,1.023788179,0.918894376,-15.39272738,-0.203054368,-13.93827415,-16.56616385,0.296761826,0.966323084,-11.66261136,-12.71694718,-0.914398763,-0.641467185,0.888096041,3.266179204,-13.74497671,-16.19174689,0,11.51655758,-2.729701564,-4.002653668,-7.478873152,0,0,0,0,0.182456236,0.932775767,0,0,14.73632919,1.116321604,-16.81173144,0,12.3739822,0,0,-1.134216824,-0.886225351,-0.411060031,-0.163556076,1.082706758,0,0,0,0,-5.037943955,0,4.033201035,-1.538928938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-106.1718322,-3.636989044,0.128580423
10,6.140054638,0.275200263,3.041896952,2.146052108,1.884292686,-9.775443237,0.118947275,-13.0787364,-9.53593929,3.758286691,0.824082136,-9.243410138,-8.998341032,1.312752397,-3.948417873,1.63407189,5.450850035,-9.220989442,-16.99327595,0,12.57391556,-0.674171909,-2.287876286,-1.525996987,0,0,0,0,0.608628346,1.518843373,0,0,-2.002740609,-0.708999684,-5.296741157,0,-12.03421241,0,0,-0.389809714,-1.280595014,-0.539555565,-0.198841753,1.470261806,0,0,3.234902671,-6.242770047,0,0,0,0,0,3.477586054,0,0,0,0,0,0,0,7.296142307,0,0,12.46912551,-2.036883248,-4.345446585,0,0,0,0,0,-3.653094605,-12.92717014,1.478435228,11.04133468,0,-56.85887979,1.592400352,0.357819251
