"","(Intercept)","vegcBSpr","vegcCrop","vegcGraminoidFen","vegcGrassHerb","vegcIndustrial","vegcLarch","vegcMarsh","vegcMine","vegcMixedwood","vegcPine","vegcRoughP","vegcRural","vegcShrub","vegcSpruce","vegcSwamp","vegcTameP","vegcUrban","wtAge","wtAge2","wtAge05","fCC2","ROAD","mWell","mSoft","mEnSft","mTrSft","mSeism","CMETHODSM","CMETHODRF","pWater_KM","pWater2_KM","xPET","xMAT","xAHM","xFFP","xMAP","xMWMT","xMCMT","xY","xX","xY2","xX2","SSH_KM","SSH05_KM","THF_KM","Lin_KM","Nonlin_KM","Succ_KM","Alien_KM","Noncult_KM","Cult_KM","THF2_KM","Nonlin2_KM","Succ2_KM","Alien2_KM","Noncult2_KM","YR","isCon:wtAge","isCon:wtAge2","isUpCon:wtAge","isBSLarch:wtAge","isUpCon:wtAge2","isBSLarch:wtAge2","isMix:wtAge","isPine:wtAge","isWSpruce:wtAge","isMix:wtAge2","isPine:wtAge2","isWSpruce:wtAge2","isCon:wtAge05","isUpCon:wtAge05","isBSLarch:wtAge05","isMix:wtAge05","isPine:wtAge05","isWSpruce:wtAge05","xFFP:xMAP","xMAP:xPET","xAHM:xMAT","xX:xY"
"1",-46.2279127587011,3.43335746565232,23.723564224415,1.85382706635402,-0.851049221318852,24.8543316572147,21.8689319505489,-0.6956185225606,1.3343042849463,2.65388796709452,-2.94444523249518,24.0487756820552,0.465666071789052,1.64182291406401,-4.95089198808463,1.62136671526186,24.1963295363754,3.09604327889077,0,0,0,0,1.80894753870981,10.0431107805171,-30.8003915180267,0,0,0,0,0,13.4265632107341,0,0,0,0,11.7160675662478,30.83848826787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",-47.171421780266,1.73903283602659,19.1289276411053,-0.276337951517559,-2.14540548126526,25.1294308066965,20.0443234419922,-3.54343537447948,-0.906549777088157,1.55759392977384,1.45345670188741,20.6557067491733,2.76130787851655,0.223856957680814,0.534675179524558,0.376504083668291,20.8793971044378,1.84921885333607,0,0,0,0,-16.2712857569376,11.1424912125266,-100.416014650222,0,0,0,0,0,16.2847723141975,0,0,0,0,23.952417592995,0,0,0,-2.53263183027966,-0.894203121470941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39341640177417
"3",-37.2139426204472,1.45854883557089,17.2487894800282,0.156642593884724,1.00272787922314,-4.33185765272,1.29577916943572,20.7374280858362,-3.31367642197994,0.622505026653395,1.4197320186831,-2.70080576162832,-3.52756808907262,1.35599758162846,-0.00361056006358905,0.495619718109403,18.8442789959716,-2.95052228397618,0,0,0,0,0,0,0,0,0,0,0,0,38.0134015026212,-42.0789531549335,8.05741041985071,0,0,0,0,0,0,0,0,0,0,0,0,5.66604986034489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",-11.7154038398521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.03337614900717,0,0,0,0,0,0,0,0,0,-13.0726169606464,5.12404361099953,13.1135978435337,0,0,0.991825136163563,0,0,0,0,0,-2.04577527304466,2.80772428035808,-3.55826849879478,-1.11242283293539,0,0,0,0,0,-21.6777580145574,-0.00458878685168441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1590586233722
"6",-48.0083527315178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8825630924276,16.6177919680633,29.0540411274051,-22.1145173312962,0,0,0,19.812557547829,0,0,0,0,0,0,0,0,2.3958357184,5.25188462424219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",-44.4825899534868,5.80897840368707,13.9311655219258,6.95754969554601,3.57805078442672,16.9304350521164,6.17992993338896,2.72705937061666,-6.62907360557638,-0.897095833903239,-0.694842450890553,-5.37976226226893,-4.68943006303985,4.25663456699329,-1.58352528636487,4.59198731812021,16.5964801607863,-5.93737220594125,0,0,0,0,0,0,0,0,0,0,0,0,18.3037783222661,0,0,0,0,9.73814896262755,0,0,0,-1.64627089905768,-0.373492988022895,0,0,0.432190654489172,0,14.4780803771423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260861613234665
"8",-50.8273336522898,1.74397822874112,18.5992381343402,0.172351396268116,22.0791434837671,20.248549202026,1.50938300837041,-3.95399343058942,3.1204182534972,2.9284101165747,-1.60873026771524,20.9863354986862,3.90681829537899,4.16340599298194,3.13125781211506,1.76839337557923,20.2158218954282,1.28194677059104,0,0,0,0,3.64490864355019,24.4168629256986,-43.765761661468,0,0,0,16.9722455546161,19.1411253563487,21.2289042810279,0,0,0,0,0,0,0,0,0,0,0,0,6.11265934431015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",-164.024247197439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.92527088769735,0,0,0,0,0,0,0,0,0,123.639419899809,141.846355482126,9.61594082718929,0,0,0,0,0,0,19.5977349446215,0.637513124496636,-13.7038847205684,12.119023205453,-22.3564297984586,-12.696195031174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0233846860141
"11",-60.6129805535863,2.16402316985733,20.8734482591873,-0.341197079528597,1.35395764087917,24.192490553549,0.653660262630573,-0.869744794504358,2.38074388314541,1.981313348249,0.189604633961152,23.4815456124017,3.81076238662801,2.6468174751118,3.53667846350848,1.4425071835422,22.9355388741595,2.04454694569138,0,0,0,0,2.06400795905899,20.2564487277482,-58.4085173893995,0,0,0,15.396758161582,15.3528777553615,14.6881371633241,0,0,0,0,20.0670744481955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",-54.9409463094995,2.60371061241524,21.357466241145,1.55556896294576,0.675807833095237,24.081552144508,18.8291231866388,0.514607133829305,1.06497015312313,1.90075656753044,2.85012086671026,22.3062473658428,3.85174577126591,6.18410609658354,3.61144585324253,3.36917259371029,21.2080526000784,5.1572666530975,0,0,0,0,-19.4890634363501,11.1278747089419,0,0,0,0,16.7447370020002,15.599035247452,19.2731089655644,0,0,0,0,9.48316088960629,0,0,0,-2.34561694141026,0.0585679739205689,-6.25560517832771,0.637025092738832,4.95080723693273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41057495393272
