,(Intercept),vegcBSpr,vegcCrop,vegcGraminoidFen,vegcGrassHerb,vegcIndustrial,vegcLarch,vegcMarsh,vegcMine,vegcMixedwood,vegcPine,vegcRoughP,vegcRural,vegcShrub,vegcSpruce,vegcSwamp,vegcTameP,vegcUrban,wtAge,wtAge2,wtAge05,fCC2,ROAD,mWell,mSoft,mEnSft,mTrSft,mSeism,CMETHODSM,CMETHODRF,pWater_KM,pWater2_KM,xPET,xMAT,xAHM,xFFP,xMAP,xMWMT,xMCMT,xY,xX,xY2,xX2,SSH_KM,SSH05_KM,THF_KM,Lin_KM,Nonlin_KM,Succ_KM,Alien_KM,Noncult_KM,Cult_KM,THF2_KM,Nonlin2_KM,Succ2_KM,Alien2_KM,Noncult2_KM,YR,isCon:wtAge,isCon:wtAge2,isUpCon:wtAge,isBSLarch:wtAge,isUpCon:wtAge2,isBSLarch:wtAge2,isMix:wtAge,isPine:wtAge,isWSpruce:wtAge,isMix:wtAge2,isPine:wtAge2,isWSpruce:wtAge2,isCon:wtAge05,isUpCon:wtAge05,isBSLarch:wtAge05,isMix:wtAge05,isPine:wtAge05,isWSpruce:wtAge05,xFFP:xMAP,xMAP:xPET,xAHM:xMAT,xX:xY
1,-7.095980631,-2.654777899,-0.766328759,-1.146015671,-1.374281173,-0.233200735,-2.686217097,-0.820838084,-0.643935113,-1.336262024,-1.111465819,-0.725216663,-11.50294757,-0.992645529,-0.714634511,0.026789292,-1.061086706,-11.74324233,-0.710671331,0,0.56671062,0.015341561,-0.484117563,-3.664163562,0,0,0,0,-0.764600415,1.407303967,-0.995804339,0,5.779081077,-0.258351796,2.870806979,0,-2.038656367,0,0,-0.287445311,-0.221819037,0,0,0,1.48656485,0,0.497393639,0.042769908,0,0,0,0,0,-1.329140598,0,0,0,0,0,0,0,-4.921499621,0,0,-3.885285744,-2.888367989,-1.749368865,0,0,0,0,0,7.977722407,5.462875811,4.11786744,3.457325085,0,0,0,0.205861402
2,-7.941373845,-3.325159678,-0.95250513,0.104692665,-0.931039469,0.066642825,-3.36784603,-12.7627183,0.207868434,-1.239596198,-0.965913636,-1.249530334,1.100229406,-0.460418049,-0.240599702,0.273757774,-0.306580117,-11.6478458,-2.915436543,0,2.216268669,-0.077190808,-0.507615702,-2.874919496,0,0,0,0,-0.332484225,1.703070893,0,0,1.46586741,-0.288117692,4.276832068,0,-2.713396284,0,0,-0.037096717,-0.13132185,-0.044105936,-0.053684525,0,1.365467262,0.660440768,0,0,0,0,0,0,-1.610644067,0,0,0,0,0,0,0,0,-4.62473907,0,0,-1.909070239,-3.286536864,0.588427175,0,0,0,0,0,9.20339508,4.576180865,4.392283928,1.68875829,0,17.88104717,-0.13101206,0.113123266
3,-6.10863021,-0.522841039,0.453824397,0.292462321,-0.531606371,0.649344933,-0.740786995,0.161806838,1.267954368,0.1582543,-0.136802834,0.388332273,-10.61456772,0.22624524,0.265964521,0.717278499,-0.613271024,-9.981045242,1.679171351,-1.151097929,0,0.076294689,-0.219916653,-1.742985279,0,0.142876501,2.14089885,4.133949392,-0.77153707,1.331716565,-1.013725879,0,-0.965051057,-0.653566225,2.860854807,0,-11.34360419,0,0,0.2399285,-0.096229681,-0.105081607,-0.041838515,0,1.068064488,0,0,0,-0.659983379,-1.858928512,0,0,0,0,0,0,0,0,0,0,0,4.819224778,0,-4.262079214,2.630755663,6.603830783,2.700212635,-2.817411044,-10.20741172,-2.316946127,0,0,0,0,0,0,0,35.97495035,1.003778786,0.05850476
4,-6.799000053,-1.852686583,-15.58437802,-1.878089232,-0.275697031,1.566892782,-1.780248339,-15.05934103,1.490842576,-1.872835786,-0.436971557,-0.781267814,-13.03467798,0.006114965,-0.682120047,0.408448895,-3.51505627,-12.40578453,-2.03093573,0,2.240606471,-0.472804772,-0.326048416,-4.496950493,0,0.367276494,2.457271335,3.512774572,-0.955469684,1.272104262,0,0,7.949517143,-0.229642214,-1.63630585,0,-3.27560732,0,0,-0.225304973,-0.111615862,-0.107409626,-0.013598707,0,1.887204632,0,0,0,-2.271231619,0,1.189245569,1.97884471,0,0,5.840685039,0,-5.379915618,0,0,0,0,-2.166821037,0,0,-5.091716447,2.029106687,-0.461478294,0,0,0,0,0,4.60354124,6.888933785,-0.238793464,2.215074968,0,0,0,0.104189978
5,-9.070497707,-1.305525039,-2.456541232,-0.733306527,-2.144550343,0.196655089,-1.305712889,-0.061616984,-12.37577727,-0.426711775,0.611953838,-0.918860153,-11.76773064,0.437722617,-0.06734387,1.025048167,0.00336871,-11.66816896,-1.85310817,0,2.172583317,0.233786622,0.050735323,-4.649609534,0,-0.548182609,-2.405806394,2.518344768,-1.137796351,0.900225788,-3.824578381,8.993176332,10.16396401,-0.274111991,-0.487788201,0,0.852730735,0,0,-0.123662619,-0.218581773,0,0,0,0.634192489,0.639810411,0,0,0,0,0,0,-1.71297487,0,0,0,0,0,0,0,0,-2.717650006,0,0,-2.975946012,0.023906259,-1.833349042,0,0,0,0,0,5.222380159,4.211010021,-0.027562362,3.096112451,0,0,0,0.270348479
6,-7.49193625,-0.155586215,0.198968602,-0.897971467,-1.102606177,0.663999382,-0.31030724,-0.46355529,-11.59735566,0.517267952,-0.258061501,-11.73591193,2.731747688,0.056212411,0.213173483,0.672957622,0.912092423,-10.87502777,3.580370953,-3.966743905,0,1.612162766,-0.306209289,-1.645474247,0,1.143775829,-1.908176469,2.243444327,-0.669714841,1.230555013,0,0,6.869325857,-0.187665105,0.389419892,0,-1.523616538,0,0,-0.149465474,-0.169361717,0,0,0,1.355198523,-0.030637552,0,0,0,0,0,0,-1.911504129,0,0,0,0,0,2.047061162,-0.866999207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156339239
7,-2.656609467,-3.512642808,-1.956950393,-0.543646544,-14.61104177,0.451129899,-3.740634544,-0.488185386,-0.538653489,-1.194399537,-1.575151799,-13.83970033,-13.48018362,-2.101961297,-0.310944807,0.128259578,0.317427518,-13.68709491,0.250218504,0,-0.274368822,-0.232561371,-0.412548031,-0.023836842,0,-2.781295567,-3.026873776,0,-0.195484299,1.667297586,-1.431147393,0,-3.918535582,-0.462565576,3.76657656,0,-17.93292258,0,0,-0.148337149,-0.157719983,0,0,0,1.097547339,0,2.185573782,-1.399909039,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.834898539,0,0,-5.971772893,-6.283074359,-2.961461997,0,0,0,0,0,10.80807005,6.821849895,7.136308234,3.865817847,0,35.69033398,0.608900612,0.163136852
8,-8.271412415,-0.805321311,1.918307278,1.781558617,0.444433827,2.507289182,-0.895995829,0.800356651,2.444483249,0.553918552,0.184082396,1.750326304,3.179870886,1.404423826,-0.066499208,1.738515883,1.199449213,-8.526503325,-6.529371777,0,6.886088031,1.461971727,-0.47904028,-2.224254834,0,0,0,0,-0.313545488,1.7228628,-0.988735917,0,-0.02448219,-0.23072306,6.19170034,0,-4.440954118,0,0,-0.148697423,-0.214542054,-0.123617857,-0.063561631,0,1.604399385,0,0.140286637,-1.36017782,0,0,0,0,0,-1.108161361,0,0,0,0,0,0,0,2.890613963,0,0,2.800987348,1.772437486,-0.851924702,0,0,0,0,0,0.068485146,-1.875074819,-1.17710714,2.096154564,0,15.83283706,-0.220136901,0.116931999
9,-8.72345458,-0.650564351,1.044500295,2.734654143,1.565456802,2.366014337,-0.677467979,-10.90383881,2.254783788,2.649825335,1.7320995,1.091033869,3.523819867,1.61835304,1.762070654,2.488426719,1.541822838,-10.0009921,-6.64887272,0,8.22320488,-1.254238812,-0.271345533,-5.148901574,0,1.27401137,-0.159764127,2.992460969,-0.83309354,1.412230089,-1.074216491,0,-0.425851776,-0.349816559,5.624880538,0,-9.68263895,0,0,-0.050429993,-0.297341682,0.025890843,-0.089882436,0,1.090304852,0,0,0,0.014874982,1.649775551,0,0,0,0,0,-3.879614471,0,0,0,0,0,-0.357533523,0,0,7.676912322,4.507367104,5.919199861,0,0,0,0,0,2.24888323,-8.063730483,-4.941215802,-5.295786464,0,26.31921456,0.288975816,0.195952199
10,-5.12847714,-3.038057354,-4.473378399,-0.5810081,-1.547307609,-1.464309261,-3.193866807,-2.111684348,-1.5502864,-0.753583908,-1.386320052,-2.798967666,-1.172075076,-2.687396341,-1.837744476,-1.030296274,-1.562100155,-12.36664676,2.544563567,0,-2.955623457,-1.293189046,-0.468009001,-5.838076728,0,-4.514921716,-6.9277396,-3.198234019,-0.75483532,1.614182779,-0.416302215,0,0.161715435,0.116054783,4.60413234,0,-7.099145793,0,0,-0.160461902,-0.099654624,-0.07402162,-0.047690068,0,1.501687088,0,5.268269415,-0.221385948,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.195408873,0,0,-3.586637478,-3.625553887,-6.273366892,0,0,0,0,0,10.41225713,4.253938065,5.200147423,8.443186909,0,19.63099009,-0.709086059,0.079455093
