"","(Intercept)","vegcBSpr","vegcCrop","vegcGraminoidFen","vegcGrassHerb","vegcIndustrial","vegcLarch","vegcMarsh","vegcMine","vegcMixedwood","vegcPine","vegcRoughP","vegcRural","vegcShrub","vegcSpruce","vegcSwamp","vegcTameP","vegcUrban","wtAge","wtAge2","wtAge05","fCC2","ROAD","mWell","mSoft","mEnSft","mTrSft","mSeism","CMETHODSM","CMETHODRF","pWater_KM","pWater2_KM","xPET","xMAT","xAHM","xFFP","xMAP","xMWMT","xMCMT","xY","xX","xY2","xX2","SSH_KM","SSH05_KM","THF_KM","Lin_KM","Nonlin_KM","Succ_KM","Alien_KM","Noncult_KM","Cult_KM","THF2_KM","Nonlin2_KM","Succ2_KM","Alien2_KM","Noncult2_KM","YR","isCon:wtAge","isCon:wtAge2","isUpCon:wtAge","isBSLarch:wtAge","isUpCon:wtAge2","isBSLarch:wtAge2","isMix:wtAge","isPine:wtAge","isWSpruce:wtAge","isMix:wtAge2","isPine:wtAge2","isWSpruce:wtAge2","isCon:wtAge05","isUpCon:wtAge05","isBSLarch:wtAge05","isMix:wtAge05","isPine:wtAge05","isWSpruce:wtAge05","xFFP:xMAP","xMAP:xPET","xAHM:xMAT","xX:xY"
"1",-26.7616865544991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.920120617198,0,-9.44955518449495,0,0,0,0,0,0,0,-18.0820219385489,-1.9504457303147,0,0,30.4388465525931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",-34.1922788165884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.72809706266762,0,0,0,0,0,0,0,-21.1382748807653,-4.91668487132042,135.682530735942,-2172.39269474111,56.9504438727144,0,-17.881416893344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",-54.5434832180993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.86675464969009,0,-6.84371796229652,0,-15.7461156505394,0,0,0,0,0,14.1486015354291,13.843946576058,0,0,0,0,0,39.8524712381471,0,0,0,0,0,0,0,0,0,-2.46114133745631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",-50.8234052192687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.990938362554185,0,-17.3547359124129,0,0,0,0,0,12.7231585113755,12.3274121773566,0,0,43.7734475913256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",-75.0183911425858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2827415643077,0,-13.7778274578534,0,-16.4070184245539,0,0,0,0,0,9.98269378141877,9.52872267956601,252.322090927394,-7794.53686417237,128.849527286835,0,-63.8843519792257,0,0,0,0,1.49899448374442,1.52793814578813,-3.20770996371244,-0.0173562930217371,0,-3.10590051281859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.11040545454426
"12",-56.9638481302472,-9.430533952095,8.31669737182565,-9.60151036447139,10.8264497893725,-9.99458341384504,8.70817924639165,-8.7835098762169,-8.94234003366876,-15.8491940509562,-9.74049192581949,10.6133035836594,-7.60826129198393,13.3886741351749,-8.97931368768681,-9.00622864373107,-11.2352713464613,-9.65549598922526,0,0,11.5101579541769,0,-17.5713733899472,0,0,0,0,0,16.1099637243496,14.6394603942244,-172.530608575558,0,0,0,0,30.8867256496361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.1786080992031,0,0,0,0,0,0,0,0,0
"13",-76.4605141154049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.318963723317,0,-52.807321195081,0,-16.9876069500047,0,0,0,0,0,-10.6415705608713,9.83126430435421,-205.566955368569,0,112.175779977423,0,-36.0765874981711,0,0,0,0,1.8370825422378,0.387227791936253,0,0,0,0,0,0,0,-0.141235387172813,6.49569144077948,0,0,0,0,0,-11.6971864674723,0,0,-70.3931845418959,0,0,0,0,0,0,0,0,0,0,0,54.1472213534914,0,0,0,0,0,0,0,0,-0.821261788704789
"14",-44.0643038922455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.6844657818122,0,-25.3179856691759,0,-14.8405539819267,0,0,0,0,0,-4.23946033853263,14.2860185501078,-1002.41314215682,0,34.7890771242287,0,0,0,0,0,0,0,0,0,0,0,0,-3.10891408240291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",-52.7848076428592,-0.117734295706634,21.7820249694029,-0.145360244825124,17.361604596881,0.738671871940032,17.3356916641328,0.318175956658881,1.57979277081698,1.1171531528443,0.749627255894002,21.9569701194568,3.70507414415591,20.72307307024,0.872882432798648,-0.487561925595366,22.0877375408794,4.62028717531354,0,0,0,0,-0.945605002524909,0,0,0,0,0,0,0,64.2347045667906,-1327.02683415576,96.94711373627,3.70562660999863,-42.6647757474251,0,35.6684530135226,0,0,0,0,0,0,0,0,-3.7124385390185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-189.366672924992,-4.2032328832646,0
"16",-73.3408006687606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6924855450455,0,-12.9784522491002,0,-17.3390590961161,0,0,0,0,0,-10.6523158396568,7.78618493929264,0,0,83.8318997343397,0,0,0,0,0,0,1.18122033021676,0.889451315788619,-6.93798142946263,0.587324540579416,0,0,0,0,0,1.83465659467348,43.1261454824327,0,0,0,0,0,-328.881190621821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5816816329382
