,(Intercept),vegcBSpr,vegcCrop,vegcGraminoidFen,vegcGrassHerb,vegcIndustrial,vegcLarch,vegcMarsh,vegcMine,vegcMixedwood,vegcPine,vegcRoughP,vegcRural,vegcShrub,vegcSpruce,vegcSwamp,vegcTameP,vegcUrban,wtAge,wtAge2,wtAge05,fCC2,ROAD,mWell,mSoft,mEnSft,mTrSft,mSeism,CMETHODSM,CMETHODRF,pWater_KM,pWater2_KM,xPET,xMAT,xAHM,xFFP,xMAP,xMWMT,xMCMT,xY,xX,xY2,xX2,SSH_KM,SSH05_KM,THF_KM,Lin_KM,Nonlin_KM,Succ_KM,Alien_KM,Noncult_KM,Cult_KM,THF2_KM,Nonlin2_KM,Succ2_KM,Alien2_KM,Noncult2_KM,YR,isCon:wtAge,isCon:wtAge2,isUpCon:wtAge,isBSLarch:wtAge,isUpCon:wtAge2,isBSLarch:wtAge2,isMix:wtAge,isPine:wtAge,isWSpruce:wtAge,isMix:wtAge2,isPine:wtAge2,isWSpruce:wtAge2,isCon:wtAge05,isUpCon:wtAge05,isBSLarch:wtAge05,isMix:wtAge05,isPine:wtAge05,isWSpruce:wtAge05,xFFP:xMAP,xMAP:xPET,xAHM:xMAT,xX:xY
1,15.63526325,1.658315881,1.24413341,-11.95895201,1.407891814,-12.93140612,1.839451439,1.412948185,-12.60202402,0.76528154,1.356216489,1.955652819,-12.12264298,1.912979548,0.359541144,1.531567595,0.012495419,-12.3400111,0,0,2.610396638,0,-0.089155222,-2.993958498,0,3.317456729,-1.262889885,0,-0.2246142,1.130417149,0,0,-29.4873304,1.572821764,-3.659936714,0,-96.30552298,0,0,-0.656283304,-0.083830097,-0.153439204,-0.161463964,0,1.292507835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.117947586,-0.759410802,-2.8173955,-0.097657103,0,132.5229233,-3.467961204,0.177954825
2,22.7112809,3.841564932,1.757306798,-11.21166176,3.514269156,-13.06009331,3.240615178,-11.47205687,-13.19111164,1.808856134,2.159635802,3.607853123,-12.13585152,3.993549482,1.918193843,2.915181671,0.594264764,-12.66411932,13.54139948,-14.19368601,0,2.324012443,-0.39001519,-7.780219658,0,0,0,0,-0.284012605,1.029419688,-1.513053617,0,-44.28532359,1.602891387,-1.328502211,0,-152.3456722,0,0,0.072868099,-0.360156778,-0.467365988,-0.161333868,1.579563337,0,0,0,0,2.395323571,1.098629024,0,0,0,0,-3.585070938,0,0,0,0,0,0,-17.92918591,0,18.07914513,-11.1594287,-11.01738321,-11.80699923,15.36918109,13.08938656,15.5206325,0,0,0,0,0,0,0,219.6060855,-3.094750305,0.365547328
3,42.102125,-0.224593027,0.550595238,-12.61178379,2.477322577,-14.60614711,-0.196322347,1.901225387,-14.36427003,2.383124636,2.582470762,-14.17614942,-14.01168836,2.242939171,1.909612935,1.08025272,-0.430769688,-14.82456205,10.757311,-10.51273663,0,0,0.026777078,-5.546413441,0,2.471068927,-4.690968544,9.016207277,-0.053290675,1.147379157,-5.210899304,15.52724876,-57.55709738,2.044044917,-10.54611975,0,-207.5152368,0,0,-1.212104104,-0.300223129,-0.360703453,-0.27708842,0,0,0,0,0,2.396913732,1.475341371,0,0,0,0,-2.312720851,0,0,0,0,0,0,-4.465204327,0,5.392491224,-11.92929437,-8.827090861,-15.4492041,13.58622142,-6.292157995,20.68845782,0,0,0,0,0,0,0,270.5306819,-4.170264384,0.418999574
4,2.179679068,2.445430467,0.915595517,-11.76790082,1.342874735,-13.37935738,2.527747704,2.082382279,-13.0348227,1.350511481,2.601297708,0.763105575,-11.56237596,2.989536755,0.477163919,2.09639201,1.346030625,-11.61852532,0,0,3.46601501,0,0.965881472,0.75095968,23.87022207,0,0,0,-0.26828959,1.043726733,7.607111053,-55.18784357,-11.78916413,1.086255541,-2.025674155,0,-38.39679264,0,0,-0.363267931,-0.158279671,-0.066641705,-0.153794097,0,0.780425065,0,-20.65051037,1.918740772,0,0,0,0,0,-1.511271053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.181214806,-2.077760228,-4.558013545,-0.173898627,0,49.44931868,-2.659126118,0.330725387
5,-0.326585543,-0.223908648,0.317214295,-14.1558544,-0.315661666,-15.49692565,-0.536155327,-14.95019256,-15.17259759,0.023531307,-0.340579772,-0.285236164,0.356392958,-14.6082467,0.252654112,0.77509675,-0.563657652,-15.76671707,1.263544533,-0.980855142,0,0,-0.862257979,-6.088128767,-5.781443395,0,0,0,-0.850127196,-0.070660145,0,0,2.63965881,0.584704769,-9.220131718,0,-31.43966869,0,0,-0.542371091,-0.164017546,0,0,0,1.715063881,0,7.406104406,1.899422531,0,0,0,0,0,-2.299573332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.43011252,-1.268205218,0.453375651
6,41.24927154,2.04693767,1.939292387,-11.84317131,1.865583664,-12.80799535,1.920392861,-12.44693711,-12.22181584,-0.415580532,2.018013438,0.816637075,-11.53289666,1.802061272,0.385496185,1.41111114,0.100729528,-12.02735899,0,0,2.598928473,0,-0.419058942,-3.751276555,0,4.648035578,-1.398843245,0,-0.390650416,1.477127055,0,0,-62.06008331,2.168851723,-7.065582272,0,-203.6781309,0,0,-0.927028388,-0.172976248,-0.462614991,-0.172304833,1.322830849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.57204092,1.16307243,-4.279144778,-0.015178102,0,278.1347859,-4.798026332,0.056582479
7,30.70592786,2.005343634,1.477711383,-12.73016389,-12.89503969,-14.07533199,2.172219035,2.870630244,-13.52491509,1.750066823,1.21588142,2.071055815,-13.37752571,3.819623562,1.476491013,2.191046902,-13.76581376,-12.94639322,10.14355666,-10.32200148,0,0,-0.568664295,-11.44706492,0,0,0,0,-0.71353032,0.678016463,-6.493676684,17.73335766,-44.24013516,1.467110485,-10.28409043,0,-168.2106947,0,0,-0.619869363,-0.232353073,-0.231951631,-0.071087382,0,0.987072228,0,0,0,-0.019854602,4.799173674,0,0,0,0,0,-4.925676016,0,0,0,0,0,-13.42153352,0,14.49311781,-6.044016216,-5.615373649,-8.53208059,5.17361742,-0.019438792,11.68473673,0,0,0,0,0,0,0,224.6767063,-2.944530526,0.403493126
8,40.57268304,4.147081096,4.460839251,3.19567319,-10.47980381,-8.977139177,3.995647543,4.82132658,-9.80503487,3.622684126,3.378308899,3.539995613,-9.302815411,4.382953412,2.298527753,3.971249008,3.246119071,-7.749028195,17.67164801,-16.62277387,0,1.550005733,-0.208686713,-7.119094728,0,2.214841243,-2.158744905,0,-0.503769012,1.016792876,-1.779656906,0,-60.33260162,2.756685464,-10.90050357,0,-224.531231,0,0,-0.468679726,-0.459190644,-0.589220478,-0.216277475,0,1.35033615,0,0,0,-8.9707702,0,13.92313436,-0.361823815,0,0,16.27646773,0,-21.18344144,0,0,0,0,-20.83816379,0,20.3598412,-17.05617124,-18.36755099,-13.38461453,18.98883453,18.72543286,16.94024079,0,0,0,0,0,0,0,299.3694205,-5.743440475,0.451955846
9,6.592642685,1.537217845,1.700742904,-11.69333251,1.102771547,-12.5347709,2.186129116,-12.33506358,-12.53479972,0.811409181,0.713369224,1.832852,-12.11943569,1.888649452,-0.892154482,1.938822188,0.602574835,-10.93440461,0,0,2.538986893,2.189634845,-1.129995035,-3.416812884,0,3.39103965,-5.286030652,0,-1.20890676,0.76820117,0,0,-12.26285221,0.364317325,-5.270147534,0,-55.81947371,0,0,-0.674161449,-0.447619347,-0.099437053,-0.21557592,0,1.573722815,0,0,0,-6.249378845,0,8.310063958,0.757606673,0,0,6.143795275,0,-8.887819629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.680532378,-0.798691725,-1.948884192,1.872373118,0,58.16850483,-0.895558317,0.622025495
10,41.10239403,2.182543657,1.764633304,-10.96302759,3.042566307,-10.51523092,2.39207933,2.313257268,-10.1112096,2.610555939,2.844718946,2.753438175,-10.8311386,2.809494678,2.063547362,2.488458915,1.614807265,-9.446769583,10.82168476,-8.971426492,0,0,0,0,0,0,0,0,-0.619326483,0.693682366,-6.409068339,16.23759815,-54.90118749,2.057349598,-13.95417753,0,-210.5335824,0,0,-1.039325099,-0.345381776,-0.423922881,-0.152597244,0,1.511255253,0,0,0,-6.842539249,0,8.298661923,0.86706535,0,0,10.21838549,0,-11.88586135,0,0,0,0,-9.709933266,0,7.781107972,-9.578613501,-10.96666195,-8.527179333,8.351187595,3.079316105,8.209038964,0,0,0,0,0,0,0,271.0157108,-4.220736444,0.401285108
