"","(Intercept)","vegcBSpr","vegcCrop","vegcGraminoidFen","vegcGrassHerb","vegcIndustrial","vegcLarch","vegcMarsh","vegcMine","vegcMixedwood","vegcPine","vegcRoughP","vegcRural","vegcShrub","vegcSpruce","vegcSwamp","vegcTameP","vegcUrban","wtAge","wtAge2","wtAge05","fCC2","ROAD","mWell","mSoft","mEnSft","mTrSft","mSeism","CMETHODSM","CMETHODRF","pWater_KM","pWater2_KM","xPET","xMAT","xAHM","xFFP","xMAP","xMWMT","xMCMT","xY","xX","xY2","xX2","SSH_KM","SSH05_KM","THF_KM","Lin_KM","Nonlin_KM","Succ_KM","Alien_KM","Noncult_KM","Cult_KM","THF2_KM","Nonlin2_KM","Succ2_KM","Alien2_KM","Noncult2_KM","YR","isCon:wtAge","isCon:wtAge2","isUpCon:wtAge","isBSLarch:wtAge","isUpCon:wtAge2","isBSLarch:wtAge2","isMix:wtAge","isPine:wtAge","isWSpruce:wtAge","isMix:wtAge2","isPine:wtAge2","isWSpruce:wtAge2","isCon:wtAge05","isUpCon:wtAge05","isBSLarch:wtAge05","isMix:wtAge05","isPine:wtAge05","isWSpruce:wtAge05","xFFP:xMAP","xMAP:xPET","xAHM:xMAT","xX:xY"
"1",23.3505295420075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.0729453365333,0,5.82240291046867,0.922274856606641,-16.1613859677829,0,0,0,0,0,0,0,0,0,6.66787312174646,0.752887781242717,-39.452154559555,0,-78.2394975546466,0,0,1.88311174747525,0.987002590999831,-5.87623466630613,0.265319348098118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29324157043653,0,0,11.1550242272679,20.7119243228429,-18.2026386480872,0,0,0,0,0,0.962863316568705,-1.56623599134792,-9.20186354077755,3.20038001273702,0,0,0,-1.58720265958786
"2",-7.11533967037998,2.97183285852397,-16.3782157540915,-17.0264051701567,-15.1037471747282,-16.0126470130321,2.69523306225079,-17.0216791387498,-14.8410213570516,3.38183164862708,0.708955621719013,-13.3372645019302,-13.597711220721,-15.4758973066179,0.758014071339871,1.81367617712027,1.32662152675715,-13.502982911336,-5.97879366349309,0,0,3.54626019223827,-14.7836431286799,0,0,0,0,0,0,0,0,0,0,0.323669398219509,0,0,0,0,0,5.66292502731725,1.33738227889698,-7.60603116685955,0.128691411835347,-2.44047779799631,0,0,0,0,-3.09629385340402,-14.0894093304657,0,0,0,0,0,16.2156042628236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.65385477542553
"3",-18.4817691475547,22.2368414811623,5.56582022861895,3.54495493200432,3.7211573096611,7.02151046309619,22.5070203751433,3.4149451646591,6.76895256600469,1.94886876932408,-32.2866042364291,4.84119498573795,7.72235632602094,3.81959166610032,-49.5078072827419,20.7898932042317,3.90939675894256,8.34574231680145,-59.4579477877406,0,68.8324072259728,12.7858574363841,-15.7832195718777,0,0,0,0,0,1.50499553784272,0.407330287664498,17.1067762946704,-83.4285935554368,0,0,0,-11.5351061817152,0,0,0,-0.609196542858944,1.37091432569674,-4.21807929107277,0.208548776503733,0,0,0,-2.0306444089878,-15.1171602852172,0,0,0,0,0,14.1175315755864,0,0,0,0,0,0,-66.1117318903474,47.9790750957754,0,0,0,0,0,0,0,0,0,97.8333809141882,-64.0908889158528,0,0,0,0,0,0,-2.38733179740975
"4",1.75552687756083,2.35302642606224,-14.9642801014139,-14.7017540598892,-15.3717200774451,-13.7072389451257,3.10946765188469,-15.2663031785474,-15.1210807450395,-0.472556404610121,-6.45011240925746,-16.4100205536317,-13.424574616258,-16.9411243212635,-0.529859233622912,2.28121358594621,1.98187395330151,-12.537716116457,0,0,0.239275894184455,3.03189324733918,-15.4332542541543,0,0,0,0,0,1.82303676085571,1.35808495760008,57.5418509824599,-849.831198297735,0,0,0,-14.7243389555042,0,0,0,0.108408956496853,1.05366400610068,-5.01263261002518,0.488636483602183,0,0,0,0,0,5.06747359997273,-16.0434123791256,0,0,0,0,-4.55610102249056,17.8575360955112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.36697518469926,4.21632879112344,8.87096337137344,-2.08834078404879,0,0,0,-1.44962508107563
"5",41.5665407913647,-38.0082976273174,-3.8291172923116,-10.1708551545162,-9.11222022378998,-5.46238371056267,-38.3333237385394,-10.1775265671122,-3.67459857512574,2.33091625659877,-5.17896458068657,-4.25734129644871,-1.78752469930292,-10.2254577139983,-4.89281504819559,6.68591908555648,13.9656606197775,-1.64859640378869,-15.7947332299554,0,18.978746087363,12.4517212624767,-16.6591301801563,0,0,0,0,0,6.92343023264453,6.70456639515287,57.4857831842672,-828.263243490975,-43.1674735260385,-0.347453717191342,-19.8665805473699,0,-106.482133757365,0,0,-1.91930687107453,-0.266709958849319,-4.31059002043834,0.313776792607681,0,0,0,5.86358776199964,-22.0400171238735,0,0,0,0,0,16.8451797875724,0,0,0,0,0,0,-20.2901581676686,-208.507961557211,0,0,0,0,0,0,0,0,0,21.1211918431246,185.991246605765,0,0,0,0,0,0,-0.0306381202114947
"6",14.3594911919328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85977302562986,0,-0.879751457295884,0.594881655395205,-16.0096050985694,0,0,0,0,0,-19.2868859160682,-19.4315551050991,0,0,0,0,0,0,0,-2.76600207368921,0.144627233743093,0.639330713632896,1.6538536051946,-2.76137944640914,0.29728385838472,0,0,0,0,0,0.95525427187131,18.2502280566853,0,0,0,0,0,-146.392591142168,0,0,0,0,0,-36.8333108876996,0,0,-9.35847184665159,0.804548784802425,-36.1893656590809,0,0,0,0,0,21.4414934598658,6.85773673062033,1.23423229506513,11.2641538495447,0,0,0,-1.27984983912596
"7",63.3559308198048,2.05973526923392,-22.4812000583167,-16.8777053075444,-15.2986334848978,-4.54753541617421,3.09362313718342,-16.599953063594,-2.93793092322894,1.00137436165498,1.90867054079398,3.37244483220245,-11.523065230863,-15.6988596710455,0.0491924911270462,1.82460070113683,-3.8230786275992,1.54143499477486,-14.5503028673039,0,6.61351573625426,0,-16.5228230173767,16.7469400176104,0,3.53130080580442,12.4297109002909,-32.6092813487475,0,0,0,0,-71.7995571483123,1.85181958718723,-39.6423016585052,0,-275.687100171893,0,0,0.157555980601425,0.882171024559165,-2.36143398536438,0.239602041267716,-2.23228359689669,0,0,0,0,29.5647262945673,0,-30.7145933569147,8.10868803185678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386.860865602035,-1.57281010937957,-1.13724673483239
"8",2.00743692867429,3.77701227148348,-17.6348188643627,-16.5902838142989,-16.1874197135523,-16.8558350159793,2.9455872715298,-16.646443633263,-17.2756322905764,3.32533811763451,2.29964314962032,-15.9462273282348,-12.7693163526581,-15.6328016384176,2.04827396969946,2.24448467099053,0.546053058681748,-16.1696437131812,-3.71036406155374,0,0,2.44840439341477,-15.4566911339374,-11.4334533793787,0,2.54596539328441,3.37599243532677,-42.7627364956181,-6.98581410951409,-7.26133445148919,0,0,0,0,0,0,0,-0.211280259828261,1.00347122268866,2.5313379963855,1.24972178744829,-2.71611799355374,-0.178381841521035,-2.10808262923359,0,0,0,0,-1.63445997927654,-19.5167497461082,0,0,0,0,0,21.7500138272611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9580835831354
"10",17.8283781629379,-1.00984031631529,-16.3585769360582,-16.3402181807322,-16.4859701436658,-16.6528015327837,1.33642301209491,-16.5964547370445,-17.1172322552965,-0.521189272421196,0.130110948601564,-18.0337586485036,-15.5358329740379,-16.8188555360502,-1.58861810670394,3.07322286636712,-18.226429804988,-13.7120989118076,0,0,-0.37567354643944,0.322602988442754,-12.7659931711661,3.33295652183345,0,3.70965188822618,-43.509836603864,0,2.19273028635009,1.52752725621101,0,0,0,0,0,-27.8680232268568,-19.1450947201334,0,0,-1.09435210100525,1.20491997036484,-8.61878353503934,0.0490609801674098,0,0,2.51370735544603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818565448849887,0,0,0,0,0,0,0,0,-2.22117763599007
"11",0.211333637124462,2.18117146783557,-20.6774667166466,-16.152585700147,-16.8287909733843,-18.4252498682534,3.25727677867865,-16.6298608540749,-21.194447036042,0.910805065771318,-1.61251034256024,-17.936054341582,-16.5042638458182,-17.7812495990326,0.395870636726861,2.50426086985185,-1.59328496936867,-18.7256499804732,0,0,-2.95829069253731,0,-14.4386089209002,-5.93094117071595,0,1.29044652243085,-19.9272283858814,-43.214204927994,0,0,0,0,0,0,0,-8.67655383275973,0,0,0,-0.732447091162688,0.802143744906003,-3.05208134187725,0.24041655203127,-2.47937232489929,0,0,0,0,5.85285617634448,-10.5182548293595,0,0,0,0,-4.70258661728861,16.5409661878635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0655732728265816,4.51432343660661,8.59411966482757,-1.45687135510719,0,0,0,-1.28269407139186
"12",23.0964435549932,-0.107089929799847,-9.4291132069032,-16.3936700449816,-14.1876341620548,-12.4703001560834,2.60566711399545,-16.5325002007462,-11.3549545970775,1.24080432274374,1.84503496121514,-18.8979286898575,-14.2677912508477,-15.2101459484907,0.572431813834925,1.27899445466884,-12.8112924313567,-6.20978876876472,-4.61711016923545,0,2.04200961335771,0.173794784749652,-16.4142497259859,0,0,0,0,0,0.714246349648124,1.88184770775646,17.4673869770106,-106.991466757803,-4.39510379679084,-5.08030163659009,-36.3305048099925,0,-81.2796054645179,0,0,1.64816607835373,1.50491065323512,-5.51388926744657,0.0888518388828786,-1.18689187696476,0,0,0,0,1.89590710557792,-7.58169554464921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.4967214703961,13.7895407010652,-2.27452192662979
"13",21.6039693006791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.40814395685317,0,2.86453872628824,0.123466008546039,-13.9422501390847,0,0,0,0,0,-27.5257995677271,-27.6452349134813,219.619332551303,-10465.3496191334,0,0,0,0,0,-3.96208460945655,0.255116600524894,18.9010796338789,2.9030866075024,-20.618645504912,0.481178535030972,0,-1.3496151854919,0,0,0,-7.83839116112803,-5.92216937219008,0,0,0,0,9.05381549628814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.21062995672935
"14",-11.9910056757977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.6116850863809,0,7.83202894650891,2.51179122798698,-15.0262996499882,0,0,0,0,0,0,0,-24.0776865572739,0,0,-0.485547204940973,0,0,0,0,0,20.5243599893515,1.41828033523126,-24.7118726113047,0.38275716141907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.54874431347792,8.51554172828761,0,0,0,0,0,0,0,0,0,0.0143396866329415,-3.3043597829971,0,0,0,0,0,0,-1.73124555921051
"15",0.60922168173576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.7631667154433,0,9.30086793688485,2.84213302116499,-17.7875574003777,0,0,0,0,0,0.933261920128646,0.299513012187014,-17.4560865263773,0,0,0,0,-8.97555534857072,0,0,0,-1.02081074076129,1.26026433563786,-3.52911944033853,0.264273990471994,-1.61065781541276,0,0,0,0,-0.717745521675196,60.7490314798954,0,0,0,0,0,-906.083676965073,0,0,0,0,0,-22.3347987801666,0,0,0.078841833417344,17.3006088865462,661.470752153188,0,0,0,0,0,13.5612703145347,3.56716589585035,-8.1382878286372,-600.913366213024,0,0,0,-1.53887383886121
"16",0.81055339133769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.0140169341278,0,12.5345566775768,1.69761995146822,-15.8232960072773,0,0,0,0,0,1.99144937628991,1.02744758897428,23.5781531691849,-161.00964276619,0,0,0,-13.5568723332789,0,0,0,0.188804194557691,1.40053904281913,-4.01735696951264,0.443649339955669,0,0,0,0,0,-4.26466300818711,92.4042724523622,0,0,0,0,4.71077149494562,-1295.20386701516,0,0,0,0,0,-2.3502602839353,0,0,4.98036701002322,11.4669041829967,-14.7939067798121,0,0,0,0,0,3.90014355100834,1.18542976725435,-2.21528479569924,3.13669022389865,0,0,0,-1.36699000982576
"17",33.8235408179752,2.08577718881762,-22.0912130724885,-16.8219693470836,-15.9752377873899,-0.0727718906566903,1.91022862216551,-17.1065705184113,3.08797871142659,0.558638895901509,-0.0639592603769409,2.61515918473311,-14.3780782608678,-16.3730920327657,-0.954012984723141,0.271247411039739,-4.80272135928864,4.46497351573139,-25.8158153963793,0,12.6399366441844,1.48543399035299,-15.3869312754173,19.7850206183945,0,0.933922386173117,9.47460496384888,-38.9062581714273,0,0,0,0,1.01835326407949,0.985850999263064,-50.8600506630743,0,-86.2549870240266,0,0,-1.21577389761283,0.860617882476067,-2.35317919954812,0.210252644181632,-1.55765998212449,0,0,0,0,39.7644063796589,0,-39.6457965885983,8.16221715003813,0,0,0,0,0,0,6.74710498079344,0,0,0,0,0,0,0,0,0,0,0,-1.95929054607348,0,0,0,0,0,0,0,0,-1.06359488911619
"18",1.92288872936884,2.29704428880148,-19.6699068524684,-16.3450812773916,-17.3274382536237,-2.96512328525512,2.06707997978797,-17.0072952481081,2.2838556085902,1.44106251004589,1.76164020675158,0.27559146870909,-16.2341265465536,-17.5717882963644,-0.688773186148714,1.21778428918776,-20.9732288158351,4.18977474851067,-1.22628489904906,0,0,-0.176372582329553,-14.9324732795045,34.748038718345,0,0.504090060183197,0.85945941324306,-46.7491435116443,1.6016763165949,1.26780909841949,-6.69506789715147,0,0,0,0,-11.0354482471756,0,0,0,-0.254964722702097,1.01701740768397,-2.84387663132813,0.0301223597962019,-1.36658697561035,0,0,0,0,46.1919621866657,0,-39.3041422432466,3.46208543894677,0,0,-5.68327494112389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.90166399153178
