,(Intercept),vegcBSpr,vegcCrop,vegcGraminoidFen,vegcGrassHerb,vegcIndustrial,vegcLarch,vegcMarsh,vegcMine,vegcMixedwood,vegcPine,vegcRoughP,vegcRural,vegcShrub,vegcSpruce,vegcSwamp,vegcTameP,vegcUrban,wtAge,wtAge2,wtAge05,fCC2,ROAD,mWell,mSoft,mEnSft,mTrSft,mSeism,CMETHODSM,CMETHODRF,pWater_KM,pWater2_KM,xPET,xMAT,xAHM,xFFP,xMAP,xMWMT,xMCMT,xY,xX,xY2,xX2,SSH_KM,SSH05_KM,THF_KM,Lin_KM,Nonlin_KM,Succ_KM,Alien_KM,Noncult_KM,Cult_KM,THF2_KM,Nonlin2_KM,Succ2_KM,Alien2_KM,Noncult2_KM,YR,isCon:wtAge,isCon:wtAge2,isUpCon:wtAge,isBSLarch:wtAge,isUpCon:wtAge2,isBSLarch:wtAge2,isMix:wtAge,isPine:wtAge,isWSpruce:wtAge,isMix:wtAge2,isPine:wtAge2,isWSpruce:wtAge2,isCon:wtAge05,isUpCon:wtAge05,isBSLarch:wtAge05,isMix:wtAge05,isPine:wtAge05,isWSpruce:wtAge05,xFFP:xMAP,xMAP:xPET,xAHM:xMAT,xX:xY
1,-6.372283043,0.009240388,-1.198165388,-0.514522897,-1.309639335,-1.661356908,-0.189602285,-0.40803776,-0.769025851,-0.583403113,-1.014598514,-0.875282907,-1.433640012,-0.701283139,-0.12307927,-0.994768244,-1.058016915,-0.732265389,-5.653701428,6.450035406,0,0,0.296039962,-0.518229629,0.385557223,0,0,0,-0.454612429,0.114279661,0,0,1.369235658,0.550716796,3.405597276,0,5.301423666,0,0,0.06584608,0.06866537,0.086359587,0.059598577,0,0.70747439,0,0,0,-1.365350532,0,3.572552106,0.180591339,0,0,2.078075651,0,-4.168996668,0,0,0,0,0.828099032,0,-1.936561788,4.867691756,3.445711604,2.030173191,-7.781873575,-2.528848413,-2.910633775,0,0,0,0,0,0,0,-6.112315493,-1.197760312,0.053080426
2,-5.385409952,0.239273761,-0.748726668,-0.18519958,-0.703087444,-1.969842296,0.19821982,-0.418580194,-1.32460905,-0.066087036,-0.786884039,-0.400623045,-0.940364887,-0.579773436,-0.526401926,-1.069042098,-0.621326859,-12.87565604,0,0,-1.932014013,0.672257956,0.16599315,0.283391786,-0.270745317,0,0,0,-0.807144071,0.006930532,-1.289663262,0,0.722738947,0.645100121,1.727490811,0,1.162241968,0,0,0.125436561,0.156251258,0.047684592,0.066170309,0,0.361606318,0,0,0,-0.60246416,0,3.077261535,-0.124263415,0,0,0,0,-2.953565145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.211713009,-0.853538186,0,0,0,0,4.623043064,-1.44802867,-0.010500272
3,-7.139121224,0.249719903,-0.800108379,0.05057441,-0.888829174,-1.837684614,0.247395756,0.244918445,-0.078453846,-0.59780618,-1.030735856,-0.561057918,-1.733285321,-0.764406861,-0.249763782,-0.793380751,-0.67451541,0.381924533,-3.875712898,4.404691259,0,0.756590615,0.156559305,-1.263746815,0,1.335891968,1.977671229,0,-0.229240817,0.350553367,0,0,-2.98957753,0.476240531,8.000148728,0,5.408861817,0,0,0.148138087,0.107742023,0.092658193,0.092800446,0,0.728435993,0,0,0,-1.628811741,0,3.153034273,-0.026333244,0,0,1.851724786,0,-3.548148945,0,0,0,0,-2.121897451,0,1.067416484,4.539573716,3.350332177,2.349138009,-6.489077031,-2.555388141,-3.427543088,0,0,0,0,0,0,0,0.691316984,-1.092742966,0.099417214
4,-5.137469333,-0.476049126,-2.073545819,-0.804570403,-1.319931952,-3.594465318,-0.420280759,-0.386100875,-0.909528444,-0.871298303,-1.118023369,-1.443540553,-1.177089479,-1.113435327,-0.057121936,-1.788027149,-2.036358157,-1.089492045,-6.839876248,7.448275026,0,0,0.125143295,2.565130914,1.524155396,0,0,0,-0.518930644,-0.034509465,1.311759616,0,0.96407033,0.366560266,2.27205575,0,1.241657411,0,0,-0.035537543,0.024848926,0.103730898,0.034257384,0,0.482835868,0,0,0,2.209068522,0,-0.359670204,1.00221335,0,0,-1.854177593,0,0,0,0,0,0,3.648523193,0,-5.819204709,5.767388128,4.737300789,0.651091808,-7.752259149,-4.824127674,-1.001480951,0,0,0,0,0,0,0,1.129414766,-0.843726865,0.089192409
5,-6.062680859,0.149955605,-1.957361198,-0.102651265,-1.509231513,-1.452101251,-0.04524937,-0.607196497,-0.035600406,-1.192167628,-0.656015537,-0.725383142,-1.35587625,-0.366253197,-0.341248877,-1.081157969,-1.920629658,-0.027177021,-5.440470324,5.997265934,0,0,0.392123898,-0.192447194,0,1.393856319,1.720773861,-6.992501695,-0.485598717,0.088083105,0,0,0.101107016,0.572800784,3.880074728,0,2.843302185,0,0,0.06300068,0.035198864,0.095514491,0.080732361,0,0.79158346,0,0,0,-1.681945457,0,4.059526137,1.013905607,0,0,3.746342909,0,-5.852340592,0,0,0,0,0.342780784,0,-1.507707826,8.499988215,2.307721854,2.997229081,-12.3759575,-1.177031405,-4.146695394,0,0,0,0,0,0,0,-0.34383052,-1.299944995,0.087744972
6,-5.700942717,0.010087314,-0.906930395,-0.348647095,-1.635101387,-2.119568896,-0.234503685,-0.274934092,-0.739912974,-0.099887666,-0.29233697,-0.923738344,-0.613246356,-0.891104629,-0.036127806,-1.443561646,-1.067054889,-12.91381809,2.513553339,0,-3.522773171,0,0.186621999,0.438783206,0,-0.627956518,2.732540819,0,-0.253173032,0.170384251,-1.842068669,0,-0.482803706,0.81855854,4.321633089,0,4.38165023,0,0,0.032748655,0.043717284,0.106515292,0.037433166,0,0.996828294,0,0,0,0.565762347,0,1.106071015,-0.410141857,0,0,0,0,-1.518733897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.095948323,-1.98806438,0.025738064
7,-6.141045626,0.294650621,-0.540219349,0.393711824,-0.475815602,-2.443884828,0.239782244,0.125479322,-0.191628049,-0.417372929,-0.71967663,0.160225626,-1.603459047,-0.063829254,-0.016780503,-1.042132286,-0.360024712,-12.12513895,-2.823061529,2.556588662,0,1.276607113,0.063797342,-1.166530536,0,1.664625118,2.654856844,0,-0.65463937,-0.089777722,-1.637667968,7.364883134,0.078924008,0.597675271,3.14700225,0,-2.53285788,0,0,0.177533929,0.0695553,0.088827669,0.062319147,0,0.648738464,0,0,0,-0.584545328,0,2.96004681,0.023158013,0,0,0,0,-3.164238814,0,0,0,0,-2.851531509,0,3.83585346,3.784865079,1.902119908,1.460847926,-8.1508769,-1.93413665,-2.147899436,0,0,0,0,0,0,0,9.538343192,-1.344786937,0.047577623
8,-6.435752889,0.101148027,-1.424971591,-0.6768909,-1.413605157,-2.275724414,0.035921108,-0.394591292,-1.311023158,-0.555410419,-0.498621569,-0.865752693,-1.267184512,-0.578038901,-0.264380604,-1.096506867,-1.872243779,-1.657927714,-5.850050351,7.1394445,0,0,0.068869506,-3.119956935,0,0.427590036,-0.589066607,-5.336905659,-0.693106211,-0.267309295,0,0,5.177714833,0.316153579,0.358415092,0,4.454952912,0,0,-0.073723103,0.040845197,0.151815706,0.06085607,0,0.614314744,0,0,0,1.590935048,3.341602177,0,0,0,0,-1.52249121,-2.968055392,0,0,0,0,0,0.312617541,0,-1.40221759,5.682764885,3.1028512,3.761656825,-9.587806554,-3.767579266,-5.702145688,0,0,0,0,0,0,0,-9.559199251,-0.574030056,0.054797627
9,-5.576462706,-0.286990274,-1.842208059,-0.798026802,-1.539264656,-2.371825011,-0.40087864,-0.74223282,-1.243194221,-1.174651055,-1.196944858,-1.450997863,-2.919362049,-0.964451099,0.353718252,-1.440726022,-1.452777989,-12.50348342,2.197847618,0,-3.889190287,0,0.118888525,-1.676813116,0,1.269708569,-0.9451565,0,-0.367876833,0.234331167,0.710388272,0,1.62686351,0.751938039,4.271669932,0,6.91229812,0,0,-0.110503572,-0.123206893,0.077864821,0.052704922,0,0.455505132,0,0,0,-0.127569987,0,3.327292796,0.716031811,0,0,0,0,-3.103224075,0,0,0,0,-2.350811882,0,0,-4.6706385,2.449911027,1.692610846,0,0,0,0,0,2.024479365,4.771113127,0.107608825,-1.321154756,0,-15.17239555,-1.680215896,0.182765611
10,-5.559102703,0.088315241,-1.389801102,-0.158526729,-1.231709894,-14.40137442,0.184646819,0.074147694,-1.853442897,-0.613807657,-1.08410954,-1.078659865,-2.104458589,-0.781109805,0.113672893,-1.091977986,-1.339888705,-2.364299174,-5.434590651,5.495230302,0,0,0.409973301,-0.554325643,0,-0.736172741,-2.851360821,-3.243467883,-0.393895255,0.079317644,-0.77988766,0,-2.042366301,0.592789671,5.440359074,0,1.378708301,0,0,-0.072409504,0.039883982,0.096439176,0.104099334,0,0.63274291,0,2.721824771,2.196156779,0,0,0,0,0,-1.964948008,0,0,0,0,0,0,0,-0.02315266,0,-0.461476257,3.690111765,4.808417704,-0.505768157,-5.203254303,-5.729512855,0.055931521,0,0,0,0,0,0,0,4.566953563,-1.611014402,0.101541876
