,(Intercept),vegcBSpr,vegcCrop,vegcGraminoidFen,vegcGrassHerb,vegcIndustrial,vegcLarch,vegcMarsh,vegcMine,vegcMixedwood,vegcPine,vegcRoughP,vegcRural,vegcShrub,vegcSpruce,vegcSwamp,vegcTameP,vegcUrban,wtAge,wtAge2,wtAge05,fCC2,ROAD,mWell,mSoft,mEnSft,mTrSft,mSeism,CMETHODSM,CMETHODRF,pWater_KM,pWater2_KM,xPET,xMAT,xAHM,xFFP,xMAP,xMWMT,xMCMT,xY,xX,xY2,xX2,SSH_KM,SSH05_KM,THF_KM,Lin_KM,Nonlin_KM,Succ_KM,Alien_KM,Noncult_KM,Cult_KM,THF2_KM,Nonlin2_KM,Succ2_KM,Alien2_KM,Noncult2_KM,YR,isCon:wtAge,isCon:wtAge2,isUpCon:wtAge,isBSLarch:wtAge,isUpCon:wtAge2,isBSLarch:wtAge2,isMix:wtAge,isPine:wtAge,isWSpruce:wtAge,isMix:wtAge2,isPine:wtAge2,isWSpruce:wtAge2,isCon:wtAge05,isUpCon:wtAge05,isBSLarch:wtAge05,isMix:wtAge05,isPine:wtAge05,isWSpruce:wtAge05,xFFP:xMAP,xMAP:xPET,xAHM:xMAT,xX:xY
1,3.314330932,0.200288923,1.494911518,0.111668496,0.663511812,2.380160471,-0.033443613,-0.005527609,1.840662713,0.463071712,-0.94917397,1.858671666,1.536473675,0.807451221,0.27267793,1.29886137,1.649174601,-8.648624639,-7.19961996,0,8.2329017,-0.70046277,0.032546712,0.931810976,0,1.191342094,-0.085080268,3.477482586,-0.560999345,-0.338771922,1.521875867,-6.659288525,-11.35918525,0.240292084,-0.772305584,0,-50.85199187,0,0,0.881808465,0.188759247,-0.468556918,-0.04662285,0,2.414629283,0,0,0,-2.964413472,-1.182288186,0,0,0,0,3.608880539,0,0,0,0,0,0,5.686056927,0,0,1.785074105,0.326495961,1.455111637,0,0,0,0,0,-6.16912278,-2.525119109,-0.279558064,-2.346787063,0,78.05762702,-0.569005272,-0.163659995
2,1.723842432,1.167962011,2.0553739,0.070962706,-0.485965349,2.526963371,0.685503867,-0.271327429,1.894459225,0.264877985,-1.62230257,1.818764241,2.128399335,1.132399909,0.313410841,1.288915159,1.993696599,-8.610718105,-7.05462413,0,8.127499063,-0.596063151,-0.165353096,0.395528325,0,1.388168665,0.791053556,3.877038526,-0.665298399,-0.442665195,1.164459458,-5.575272375,-7.889168634,0.41440858,-1.458769302,0,-42.95325243,0,0,0.687053899,0.194258905,-0.366943298,-0.04082182,0,2.450528563,0,0,0,-3.010487413,-0.212869751,0,0,0,0,3.653719254,-1.876443941,0,0,0,0,0,7.393357327,0,0,0.740375758,-2.487071949,2.055310619,0,0,0,0,0,-8.776356467,-1.506972153,2.489303533,-2.859992615,0,64.12201908,-0.964205215,-0.160252231
3,3.679236386,-0.415241176,1.737429089,-0.322321039,0.05301944,2.179085319,-0.510381651,-0.961178108,1.848714954,0.558236145,-1.184173257,1.569553554,0.888347737,0.676293496,0.492002241,0.986223539,1.970309525,-8.254601939,-6.851791699,0,7.622586066,-0.943071483,0.00901866,1.28185245,0,0.722763191,-0.325348955,0,-0.534900892,-0.313709834,1.449938579,-5.347733052,-12.40714864,0.273058539,-0.111747389,0,-52.1282485,0,0,0.922052512,0.183390461,-0.505091619,-0.042372912,0,2.379600026,0,0,0,-2.425045791,-1.725782666,0,0,0,0,3.048915203,0,0,0,0,0,0,3.975622823,0,0,1.437364348,-0.028116052,0.457482285,0,0,0,0,0,-4.150662383,-2.525188225,0.109697207,-2.507739043,0,81.92560433,-0.655650154,-0.167664467
4,3.021666544,-0.152663087,0.312392509,-0.208603313,0.62262321,1.478004047,-0.45372297,-0.291011812,0.790779432,0.532071939,-1.555153097,1.708671336,1.454926081,1.067163791,0.113696062,1.180923208,0.291033949,-9.4263699,-7.658356979,0,8.395154291,-0.457132236,-0.157121661,1.851641068,0,-0.80089724,-1.824490395,0,-0.534548339,-0.290716873,1.415603721,-5.143614018,-12.73551337,0.184957938,0.419819434,0,-50.85350246,0,0,0.926786472,0.206298016,-0.455035312,-0.055936451,0,2.399856912,0,0.146881207,-2.87122521,0,0,0,0,0,3.268720201,0,0,0,0,0,0,0,4.270141313,0,0,1.643670664,-2.980289659,-0.793148711,0,0,0,0,0,-4.675874423,-2.479463182,2.659345994,-1.190458865,0,82.71936325,-0.435129727,-0.176410301
5,3.698776611,-0.161621711,1.721590443,-0.088824703,1.306106046,2.341336666,-0.490671617,-0.009241981,1.811162085,0.909224424,-0.91508276,1.761235315,1.547102799,0.935198128,0.56722829,1.30205691,1.947555739,-8.463811376,-7.519777071,0,8.527347071,-0.833147423,0.018004159,0.604876125,0,0.243129939,-0.714118806,0,-0.596043278,-0.374277546,1.51482843,-7.187041163,-12.00166851,0.250069133,-0.890948313,0,-52.44066382,0,0,0.909645789,0.195512998,-0.464696187,-0.048054206,0,2.298103992,0,0,0,-2.463694135,-0.807388897,0,0,0,0,3.106319968,-0.671868399,0,0,0,0,0,4.354721447,0,0,3.650153028,0.109839455,2.581718869,0,0,0,0,0,-4.80278029,-4.525064165,-0.393841503,-3.559577438,0,81.6649894,-0.552302763,-0.173481567
6,1.999015205,0.727279279,1.529863187,0.349491457,0.062541201,2.979334995,0.279493625,-0.161426969,2.017370499,0.615939,-0.106796148,2.49068493,0.948032185,1.212982481,-0.214016163,1.552733967,1.861894064,-7.989327616,-7.65422781,0,8.882653227,0,0.069215371,1.660743168,0,1.462961888,-0.514292005,3.79799881,-0.548831896,-0.344483041,1.193923255,-4.575545438,-9.724827519,0.240278188,-0.657310248,0,-45.02154045,0,0,0.798814738,0.201322638,-0.415621673,-0.043060439,0,2.395729388,0,0,0,-1.054580765,0,-1.995230374,-1.094329215,0,0,3.321234299,0,0,0,0,0,0,6.733364999,0,0,1.740224758,0.993550256,0.344649389,0,0,0,0,0,-7.712486806,-2.7046855,-2.017854789,-0.839461541,0,69.17976592,-0.60514325,-0.167359302
7,2.664302119,0.272329295,2.093454015,0.286401998,0.348704884,3.138091526,-0.051436927,0.600032256,2.911939488,0.482083812,-0.420041106,2.196754604,1.833315998,0.673335379,0.568799499,1.574055818,2.3092165,2.994848638,-8.51016835,0,9.547760036,-0.45880846,-0.0255822,1.094530617,0,0.729842037,-0.414673357,0,-0.549964111,-0.341170337,1.688406866,-7.347551359,-10.62214957,0.160964368,-1.172559546,0,-48.07438161,0,0,0.842612492,0.238978582,-0.407219386,-0.04394711,0,2.279333905,0,0,0,-2.769869058,-0.536696074,0,0,0,0,3.297554609,-1.832836223,0,0,0,0,0,6.493232067,0,0,1.936547155,1.773961761,3.259558943,0,0,0,0,0,-6.674572281,-2.60079063,-2.000556819,-4.051949874,0,75.03084424,-0.35105657,-0.214049359
8,1.810187185,-0.03198762,1.207243535,-0.002507404,0.459448946,2.42824844,-0.143963916,-0.158395937,2.64250089,0.435258828,-0.711702301,1.733217254,0.873457362,0.015024997,0.298138305,0.919294051,1.570412789,-8.677723858,-7.040178584,0,7.670256899,-0.673231221,0.102018866,1.840157042,0,0.638233933,-0.042961585,0,-0.638245813,-0.424548704,1.36240683,-5.809654877,-9.730337345,0.188849211,-0.172621917,0,-44.33025516,0,0,0.972595163,0.238275777,-0.486434434,-0.04182437,0,2.349718368,0,0,0,0.068183276,0,-2.726476275,-1.402954715,0,0,2.096651888,0,1.024826118,0,0,0,0,5.741785284,0,0,1.853389898,1.854416694,-0.082153588,0,0,0,0,0,-5.952905187,-2.573902311,-1.893907321,-1.882812562,0,71.79470029,-0.454731533,-0.216126805
9,5.838169884,0.167380172,1.34117239,0.419109426,0.295261083,2.063129308,0.00659523,-0.610661303,1.470221511,0.438880001,-1.311160522,0.97334401,1.13144701,0.974397026,0.250985077,1.198351174,1.729533439,-7.513299024,-6.963875534,0,7.925439755,-0.667569593,-0.06021045,-0.011584346,0,0.640088227,-0.490510326,3.474110648,-0.629321178,-0.381896975,1.093510154,-4.596181961,-12.59416074,0.276199553,-2.777186166,0,-59.5027316,0,0,0.778640017,0.158733577,-0.443808421,-0.047520192,0,2.421686134,0,0,0,-2.706050298,-0.119295348,0,0,0,0,3.315465891,-1.348836922,0,0,0,0,0,6.424162515,0,0,1.713415185,0.616562399,1.129176638,0,0,0,0,0,-6.58390638,-2.423078681,0.148621582,-2.103238893,0,86.32379888,-0.598615583,-0.139103226
10,2.000124756,-0.073137244,0.68523309,-0.000160744,0.255034809,1.761178664,-0.397288851,0.603021921,1.024151393,0.354490035,-0.592705455,1.661387878,0.856294072,0.8364407,0.008479229,1.441293659,0.702429911,-9.210805217,-7.754651135,0,8.715890919,-0.251355596,0.095032627,1.594319057,0,0.241085518,-0.897938013,0,-0.534229722,-0.367685911,1.983775846,-6.860366906,-9.286827204,0.171951839,-0.626365987,0,-44.94576076,0,0,0.729193071,0.180989917,-0.426368772,-0.055974097,0,2.465977681,0,-0.843540985,-2.864020274,0,0,0,0,0,3.228077879,0,0,0,0,0,0,0,4.259505168,0,0,1.918449848,1.012323649,-0.82437564,0,0,0,0,0,-4.494876154,-2.460828417,-1.167270293,-0.889713092,0,67.44313362,-0.424501649,-0.178765909
11,3.727042048,-0.669311993,0.635584414,-0.286148588,0.674950962,1.546956607,-0.976742148,0.376471698,0.656842847,0.010077494,-1.968365009,1.789028217,0.247460386,0.752429251,-0.061011426,1.14873516,0.559138388,-9.028648628,-7.003828873,0,7.886114914,-0.342335127,-0.124133087,1.621853002,0,2.365570728,1.958891544,3.37076192,-0.664601639,-0.424290625,1.656384608,-8.024681086,-12.2383242,0.216765152,-0.748580383,0,-54.38084253,0,0,0.914168601,0.219340039,-0.424335072,-0.047161727,0,2.342187494,0,-2.770229131,-2.828786488,0,0,0,0,0,3.226235573,0,0,0,0,0,0,0,3.358108668,0,0,0.514845656,-1.406167777,0.691552395,0,0,0,0,0,-3.42854835,-0.964740019,2.399314952,-1.461321103,0,86.39344113,-0.479832576,-0.182027237
12,0.410378854,-0.155907428,1.69885008,-0.158007873,0.589677182,2.708807876,-0.37980271,0.3576557,2.291838231,0.594703006,-1.116228878,2.009221661,1.887148537,1.1856831,0.042534075,1.266182939,2.166906634,-8.319648642,-7.286754781,0,8.323417905,-0.446500554,0.068631944,0.462151519,0,1.155791729,-0.332237641,3.544250716,-0.579525367,-0.372565963,1.049495061,-4.992156206,-6.528228598,0.304518036,-0.554625134,0,-37.24926524,0,0,0.920684351,0.197184149,-0.454719662,-0.047842335,0,2.324368994,0,0,0,-3.050188945,-0.488041152,0,0,0,0,3.55988569,-1.279695018,0,0,0,0,0,5.079247355,0,0,2.526533154,1.016764801,0.861132097,0,0,0,0,0,-5.34419785,-3.265302904,-0.519213395,-1.609318068,0,55.00407621,-0.726942399,-0.168356629
13,4.638284982,0.047447462,0.765491969,0.354722927,0.685004307,1.953791102,-0.232897756,0.025565161,0.846586966,0.923598489,-0.957525265,1.876343231,1.120985647,0.254596671,0.378073325,1.507472536,0.491976873,-8.795950403,-7.898898947,0,9.09394738,-0.52921199,-0.160187281,0.532621934,0,0.210180657,-0.759689619,0,-0.620612443,-0.363546141,1.084166574,-5.59476824,-12.98683129,0.212790668,-1.444646252,0,-56.87475327,0,0,0.872541952,0.195351163,-0.490806004,-0.053495212,0,2.35573562,0,-0.466605025,-2.406853421,0,0,0,0,0,2.938108186,0,0,0,0,0,0,0,5.420460837,0,0,2.702175798,0.964524161,2.16161209,0,0,0,0,0,-5.799747,-3.887368368,-0.678098426,-3.010434533,0,86.46282137,-0.476896591,-0.172822833
14,1.925304676,-0.225735024,1.807988847,-0.343859214,0.927999732,2.520596799,-0.641915767,0.006803625,1.636816313,0.618413894,-0.833729526,1.734429041,1.497316627,0.585029193,0.512134664,1.122831007,1.814850459,-8.545666654,-7.305962514,0,8.131341405,-1.024782808,0.023652277,0.486652781,0,1.559705307,-0.442997361,3.521850183,-0.497107559,-0.272341494,0.925431959,-4.536801342,-9.912212451,0.178094914,-0.270161065,0,-44.01032573,0,0,0.940938144,0.211663752,-0.480565565,-0.058347639,0,2.384185519,0,0,0,-3.19692245,-0.42888909,0,0,0,0,3.955227698,-1.622088704,0,0,0,0,0,3.290577623,0,0,1.836750939,1.182184271,0.547337587,0,0,0,0,0,-3.79486338,-2.847036277,-0.99543198,-2.615076043,0,69.18591122,-0.394900791,-0.192127771
15,2.083698374,-0.657188382,1.155627279,-0.373059127,0.457635124,2.252215838,-0.886147293,0.273582852,1.296345608,0.174320263,-1.510467051,1.558723718,1.08008704,0.495607613,0.237946892,1.309101671,1.604305026,-8.912362376,-6.783021169,0,7.88290908,-0.673312182,-0.074153048,0.618964093,0,1.197643445,-0.180165417,3.749591,-0.647567911,-0.400371669,1.816221155,-7.94175752,-8.27796869,0.157254672,-1.260990945,0,-44.36491036,0,0,0.874215759,0.196803416,-0.484383673,-0.052240421,0,2.29186743,0,0,0,-2.7742237,-1.045649396,0,0,0,0,3.419968795,0,0,0,0,0,0,4.30993118,0,0,1.082830704,-0.835048961,1.731272061,0,0,0,0,0,-4.019494764,-1.598945719,1.265243835,-2.552673071,0,65.63079482,-0.36906444,-0.182486748
16,4.177203937,-0.659471785,1.059810119,-0.648748604,0.398290163,2.023171037,-1.083100944,-0.437702673,1.381575375,0.640529522,-0.541174993,1.462730104,0.471816731,0.494922867,0.114554102,0.863249474,1.336274239,-9.062449498,-6.335995877,0,7.074018523,-0.89902047,0.007701877,0.875228335,0,0.97870988,-0.871138663,0,-0.570653664,-0.330127105,0.574888976,-5.630658146,-11.80390969,0.201848761,-1.100348891,0,-52.24508451,0,0,0.878165436,0.197879921,-0.477852484,-0.054053491,0,2.212575987,0,0,0,-2.67248473,-0.674800834,0,0,0,0,3.311404335,-0.879600226,0,0,0,0,0,3.507996544,0,0,2.62922299,2.733627564,-0.753037118,0,0,0,0,0,-3.373113166,-3.487567869,-2.676332048,-1.183173753,0,81.20728238,-0.435099836,-0.201487263
