"","(Intercept)","vegcBSpr","vegcCrop","vegcGraminoidFen","vegcGrassHerb","vegcIndustrial","vegcLarch","vegcMarsh","vegcMine","vegcMixedwood","vegcPine","vegcRoughP","vegcRural","vegcShrub","vegcSpruce","vegcSwamp","vegcTameP","vegcUrban","wtAge","wtAge2","wtAge05","fCC2","ROAD","mWell","mSoft","mEnSft","mTrSft","mSeism","CMETHODSM","CMETHODRF","pWater_KM","pWater2_KM","xPET","xMAT","xAHM","xFFP","xMAP","xMWMT","xMCMT","xY","xX","xY2","xX2","SSH_KM","SSH05_KM","THF_KM","Lin_KM","Nonlin_KM","Succ_KM","Alien_KM","Noncult_KM","Cult_KM","THF2_KM","Nonlin2_KM","Succ2_KM","Alien2_KM","Noncult2_KM","YR","isCon:wtAge","isCon:wtAge2","isUpCon:wtAge","isBSLarch:wtAge","isUpCon:wtAge2","isBSLarch:wtAge2","isMix:wtAge","isPine:wtAge","isWSpruce:wtAge","isMix:wtAge2","isPine:wtAge2","isWSpruce:wtAge2","isCon:wtAge05","isUpCon:wtAge05","isBSLarch:wtAge05","isMix:wtAge05","isPine:wtAge05","isWSpruce:wtAge05","xFFP:xMAP","xMAP:xPET","xAHM:xMAT","xX:xY"
"1",-6.70698491059465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5739306114923,-105.618352260855,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707261577552869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18.6845463976301,-4.6237875068709,0,0,0,0,17.8244027127048,0,0,0,-11.4810549008931,79.0884178027076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",-9.95573441501555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4953315614761,-42.8050139218172,0,0,1.70733726939505,0,0,0,0,0,0,0,0,0,0,0.809908305808796,0,0,0,0,0,-0.192164748435856,0.581243050076704,0,0,4.21156344005259,0,0,0,0,-19.2351162310239,9.71926326328949,0,0,0,0,0,-11.2243706696224,0,0,-10.4636203637461,30.1966780097081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317005179706004
"3",-22.0359319719025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-101.736889999767,0,82.6068884541801,0,0,0,0,0,0,0,0,0,0,0,0,0.736315840000516,0,0,0,0,0,-0.615478512361116,0.281795418221939,0.816565660234731,-0.00680578807757997,0,0,-49.9463387984658,0,0,0,0,0,0,50.9576391037253,0,0,0,0,0,0,0,40.3072788353371,98.9688586218248,0,0,0,0,0,0,0,0,0,-14.4472566891639,-80.0355703941355,0,0,0,0,0,0,0.316275213283636
"4",-125.374237259188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2030840850587,-25.3843376406732,0,0,0,0,0,0,0,0,-19.913200747135,-6.04561671101902,-75.1198498709552,0,210.221349103206,18.015190383561,46.4397342049195,0,430.030049194329,0,0,8.22006743220575,3.55631800813293,0,0,4.51156173752829,0,0,0,0,-36.175072648721,14.1658248442034,0,0,0,0,39.3168632256947,-17.5088723888631,0,0,10.8964406755894,-11.290486452526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1108.40918806366,-24.0583034824866,0.305993928925909
"6",-87.1529919887591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-155.422154142606,0,205.194500404102,22.8068395608713,0.741409223609949,0,0,0,0,0,-9.49325418849969,3.98517410234289,52.7659765553958,-176.823866308475,0,0,0,-35.9649919212302,0,0,0,-4.3952478855057,-104.405285099387,-11.6203325945297,-61.7194787350016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18.6926159368321,0,0,0,0,0,0,0,0,0,0,0,13.9751937620733,0,0,0,0,0,0,0,0,-8.90094400386172
"7",-13.9327028215473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96817175055268,0,0,0,0,0,0,0,-443.350067839682,0,0,2.6304572833728,0,0,0,0,0,5.56317361273085,1.15300523159466,0,0,0,0,0,0,0,-11.8792465613544,15.3261742616504,0,0,0,0,14.5444726201264,-17.4746394257798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.291380429333032
"8",-7.38337360132713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.60578466613769,0,-0.0335308044498447,0,0,0,0,0,0,0,0,0,0,0.628763906002596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.43690349022167,0,0,0,0,0,0,0,0,0
"9",962.836457286365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.074366539053,-374.379270288378,0,0,0,0,0,0,0,0,0,0,0,0,-1651.36028076978,84.2850708011718,135.875697617266,0,-5816.65356509842,0,0,45.1664506234788,7.01965475437056,-14.570934093176,-4.341286660159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-102.410341295612,383.089230929973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8977.73491181323,-139.581886414631,-2.65925251197828
"10",-9.90884226085037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53943567981094,0,0.657629640420547,0,0,0,0,0,0,0,0,0,0,1.20565276317235,0,0,0,0,0,1.75851217025036,0.44780627843099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93532806937466,0,0,0,0,0,0,0,0,0.285795962048901
"11",-0.638353410662382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1932847261535,-113.668777650112,0,0,0,0,0,0,0,0,0,0,0,0,12.726000438542,13.8431438295499,20.9379330737344,0,-56.983044471222,0,0,1.74760551127245,1.60666375226276,0,0,0,0,0,-13.502686842871,-0.813089766770714,0,0,0,0,0,0,0,0,0,0,-21.2745886036219,106.414625230284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-130.540868410529,-23.3235452666405,-0.642327910322815
